number,value,datetime_start,datetime_complete,duration,params_activation,params_adam_learning_rate,params_adamw_learning_rate,params_batch_size,params_dropout,params_embedding_dim,params_hidden_dim,params_hidden_dim_2,params_optimizer,params_rmsprop_learning_rate,params_weight_decay,user_attrs_fold_epochs,user_attrs_fold_scores,user_attrs_recommended_epochs,state
0,0.17847601610346128,2026-08-20 13:36:23.827630,2026-08-20 13:36:43.390518,0 days 00:00:19.562888,relu,,0.0009908433809192958,16,0.0,4,32,16,adamw,,1.8393727699389582e-05,"[63, 56, 59]","[0.1686084120154309, 0.1818128467354787, 0.18500678955947422]",59.0,COMPLETE
1,0.17847080464542162,2026-08-20 13:36:43.568230,2026-08-20 13:37:02.967254,0 days 00:00:19.399024,silu,,0.0004595041739214871,16,0.0,2,32,32,adamw,,5.431649269585544e-05,"[89, 93, 97]","[0.17708316780675226, 0.17953558859937158, 0.17879365753014104]",93.0,COMPLETE
2,0.21292023032145538,2026-08-20 13:37:03.071458,2026-08-20 13:37:13.421714,0 days 00:00:10.350256,gelu,,0.0007594891937196535,32,0.0,2,16,16,adamw,,0.0006675332557234355,"[88, 73, 90]","[0.20893938762798406, 0.20461743369089064, 0.2252038696454915]",88.0,COMPLETE
3,0.2057191637592359,2026-08-20 13:37:13.528516,2026-08-20 13:37:23.824509,0 days 00:00:10.295993,relu,0.0005006867092487975,,32,0.0,4,16,16,adam,,0.0005873441858074232,"[91, 89, 98]","[0.18629781845862078, 0.22501871847122148, 0.20584095434786542]",91.0,COMPLETE
4,0.14483959208965358,2026-08-20 13:37:23.926975,2026-08-20 13:37:43.754896,0 days 00:00:19.827921,gelu,0.0007970707387311769,,16,0.0,8,64,16,adam,,1.7148994541150932e-06,"[74, 39, 33]","[0.1351154929568542, 0.1592328305066826, 0.14017045280542395]",39.0,COMPLETE
5,0.15105316500481114,2026-08-20 13:37:43.865901,2026-08-20 13:38:03.930705,0 days 00:00:20.064804,gelu,0.000992676864000753,,16,0.0,8,64,32,adam,,1.194620876284463e-07,"[32, 63, 59]","[0.15078772272118798, 0.16147303692884962, 0.14089873536439582]",59.0,COMPLETE
6,0.17326370012603362,2026-08-20 13:38:04.120949,2026-08-20 13:38:21.691806,0 days 00:00:17.570857,gelu,,,16,0.0,8,64,16,rmsprop,0.0005980342919124214,1.672030946569419e-07,"[67, 87, 87]","[0.17132639205348613, 0.18404287678905082, 0.1644218315355639]",87.0,COMPLETE
7,0.14796741066539754,2026-08-20 13:38:21.802049,2026-08-20 13:38:42.294436,0 days 00:00:20.492387,silu,0.0002196219216498502,,16,0.0,8,64,16,adam,,2.625398622964544e-06,"[95, 93, 97]","[0.13976531456801056, 0.16504215439455272, 0.13909476303362936]",95.0,COMPLETE
8,0.16211771239178943,2026-08-20 13:38:42.549834,2026-08-20 13:38:52.808216,0 days 00:00:10.258382,gelu,,,32,0.0,8,64,32,rmsprop,0.008487812118978828,0.0027379365506130415,"[84, 95, 95]","[0.1731799883108836, 0.15668002982391477, 0.15649311904056998]",95.0,COMPLETE
9,0.1446569575687098,2026-08-20 13:38:52.985265,2026-08-20 13:39:13.021056,0 days 00:00:20.035791,gelu,0.000989726599478576,,16,0.0,8,64,16,adam,,1.7428183713420553e-06,"[74, 35, 55]","[0.1321964129274413, 0.1646927920912985, 0.13708166768738955]",55.0,COMPLETE
10,0.33307142827490377,2026-08-20 13:39:13.125436,2026-08-20 13:39:20.316738,0 days 00:00:07.191302,relu,0.00020509977319980687,,32,0.0,2,32,32,adam,,4.304321377349366e-05,"[100, 90]","[0.3062473505854722, 0.35989550596433534]",,PRUNED
11,0.14423428186032158,2026-08-20 13:39:20.497919,2026-08-20 13:39:40.173780,0 days 00:00:19.675861,gelu,0.0009797047007266443,,16,0.0,8,64,16,adam,,1.511102626237973e-06,"[33, 42, 41]","[0.13331307979404328, 0.1607215737679628, 0.1386681920189587]",41.0,COMPLETE
12,0.1484582944925911,2026-08-20 13:39:40.276415,2026-08-20 13:39:59.735874,0 days 00:00:19.459459,gelu,0.0006801406074614171,,16,0.0,8,64,16,adam,,1.2445065098604208e-06,"[50, 38, 35]","[0.14328280536042187, 0.15960408876916604, 0.1424879893481854]",38.0,COMPLETE
13,0.14101302821781173,2026-08-20 13:39:59.838403,2026-08-20 13:40:19.351115,0 days 00:00:19.512712,gelu,0.000976892044943451,,16,0.0,8,64,16,adam,,6.5938057432323035e-06,"[34, 39, 55]","[0.12424678919731791, 0.15858229667127233, 0.14020999878484497]",39.0,COMPLETE
14,0.1535144814477525,2026-08-20 13:40:19.454102,2026-08-20 13:40:39.183430,0 days 00:00:19.729328,gelu,0.0005910725263274491,,16,0.0,8,64,16,adam,,9.800604799298507e-06,"[39, 46, 43]","[0.1485689442878775, 0.16539970769768966, 0.14657479235769041]",43.0,COMPLETE
