number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_hidden_dim,params_hidden_dim_2,params_learning_rate,params_weight_decay,user_attrs_fold_epochs,user_attrs_fold_scores,user_attrs_recommended_epochs,state
0,0.6969107955898378,2026-08-19 11:10:19.462162,2026-08-19 11:10:26.381825,0 days 00:00:06.919663,gelu,16,32,32,0.0004968489899721994,0.0003218371567259421,"[99, 100, 99]","[1.1224835704376417, 0.5130278297595593, 0.45522098657231225]",99.0,COMPLETE
1,0.7067113290683618,2026-08-19 11:10:26.481240,2026-08-19 11:10:29.941075,0 days 00:00:03.459835,gelu,32,32,32,0.000988127749887291,3.2251999719722266e-06,"[100, 99, 99]","[1.073637439180814, 0.5808558767342189, 0.46564067129005265]",99.0,COMPLETE
2,0.816686789700087,2026-08-19 11:10:30.037212,2026-08-19 11:10:36.259890,0 days 00:00:06.222678,silu,16,32,32,0.0004595041739214871,5.431649269585544e-05,"[99, 97, 99]","[1.4402291915993517, 0.562434035974073, 0.4473971415268363]",99.0,COMPLETE
3,1.583541421320066,2026-08-19 11:10:36.354301,2026-08-19 11:10:39.758878,0 days 00:00:03.404577,gelu,32,16,16,0.00020167775210403868,4.119194756319467e-06,"[99, 96, 97]","[2.254346470573086, 1.3460782182353643, 1.150199575151748]",97.0,COMPLETE
4,1.1032106962758228,2026-08-19 11:10:39.852810,2026-08-19 11:10:43.296184,0 days 00:00:03.443374,silu,32,16,32,0.0004991958135057747,3.0944627114845256e-07,"[85, 95, 98]","[1.3447726139716933, 0.9796707693731604, 0.9851887054826151]",95.0,COMPLETE
5,1.765576095184338,2026-08-19 11:10:43.390593,2026-08-19 11:10:47.730349,0 days 00:00:04.339756,relu,16,64,16,0.0002032261542997178,0.0024051040453064733,"[95, 78]","[2.567290988399962, 0.9638612019687137]",,PRUNED
6,0.7131816415636569,2026-08-19 11:10:47.826378,2026-08-19 11:10:54.180904,0 days 00:00:06.354526,gelu,16,32,32,0.0004890868298360735,0.00203511802917585,"[99, 100, 99]","[1.1474770743759284, 0.5222657064204154, 0.46980214389462677]",99.0,COMPLETE
7,0.6049399196708439,2026-08-19 11:10:54.277784,2026-08-19 11:11:00.809529,0 days 00:00:06.531745,relu,16,64,32,0.0009661629484290942,0.0001222821518579748,"[95, 97, 100]","[1.1030702250307896, 0.3633681329246952, 0.3483814010570471]",97.0,COMPLETE
8,0.5651407256602957,2026-08-19 11:11:00.905529,2026-08-19 11:11:07.417702,0 days 00:00:06.512173,relu,16,64,16,0.000939945716869706,2.0404976901749873e-07,"[95, 97, 100]","[0.9216576775567807, 0.42370312596230425, 0.350061373461802]",97.0,COMPLETE
9,1.4559952620094216,2026-08-19 11:11:07.513001,2026-08-19 11:11:11.893259,0 days 00:00:04.380258,relu,16,64,16,0.00031179478899061357,1.2469268300635e-07,"[95, 100]","[2.07433502860154, 0.8376554954173033]",,PRUNED
10,1.107551973254214,2026-08-19 11:11:11.988766,2026-08-19 11:11:14.459004,0 days 00:00:02.470238,relu,32,64,16,0.0008051660764060763,3.2528600511507687e-06,"[85, 94]","[1.4598371857658043, 0.7552667607426238]",,PRUNED
11,0.6873272130716243,2026-08-19 11:11:14.553173,2026-08-19 11:11:21.038125,0 days 00:00:06.484952,relu,16,64,16,0.0007831430360807955,3.544890779905555e-05,"[95, 97, 99]","[1.127593961113699, 0.5123454809048613, 0.4220421971963127]",97.0,COMPLETE
