number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_hidden_dim,params_learning_rate,params_weight_decay,user_attrs_fold_epochs,user_attrs_fold_scores,user_attrs_recommended_epochs,state
0,0.1750679108867339,2026-08-18 19:28:50.194047,2026-08-18 19:28:52.323033,0 days 00:00:02.128986,relu,64,256,0.0006841597845986785,0.0008265891226843978,"[92, 50, 38]","[0.21186904311831883, 0.172877936100343, 0.14045675344153988]",50.0,COMPLETE
1,0.1607837077301069,2026-08-18 19:28:52.420214,2026-08-18 19:28:53.492002,0 days 00:00:01.071788,relu,128,64,0.0029252289289933005,4.838820896628907e-06,"[87, 26, 64]","[0.19476800140218314, 0.14648187342634894, 0.14110124836178856]",64.0,COMPLETE
2,0.14509537216574173,2026-08-18 19:28:53.588528,2026-08-18 19:28:55.829602,0 days 00:00:02.241074,relu,32,64,0.0005800205711012044,0.00011332919418280793,"[20, 27, 40]","[0.16221837394074243, 0.1398538449009728, 0.13321389765550992]",27.0,COMPLETE
3,4.5592285974408036,2026-08-18 19:28:55.927809,2026-08-18 19:28:56.637797,0 days 00:00:00.709988,silu,128,32,0.00010178106297185293,6.359232829820194e-06,"[100, 100]","[3.1436727142984804, 5.974784480583126]",,PRUNED
4,0.1452759586939889,2026-08-18 19:28:56.729980,2026-08-18 19:28:58.890939,0 days 00:00:02.160959,gelu,32,32,0.0006910069646256938,3.5308579052359434e-07,"[14, 19, 26]","[0.1582194398085547, 0.1441551671390201, 0.13345326913439196]",19.0,COMPLETE
