number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout,params_hidden_dim,params_hidden_dim_2,params_learning_rate,params_weight_decay,user_attrs_fold_epochs,user_attrs_fold_scores,user_attrs_recommended_epochs,state
0,0.13893479579505102,2026-08-19 12:28:33.430371,2026-08-19 12:28:36.657987,0 days 00:00:03.227616,gelu,32,0.0,32,32,0.00033563004850162834,2.147618843586951e-06,"[38, 31, 43]","[0.14200277528839636, 0.13137118184932825, 0.14343043024742846]",38.0,COMPLETE
1,0.1927032771045721,2026-08-19 12:28:36.760468,2026-08-19 12:28:41.300084,0 days 00:00:04.539616,gelu,16,0.1,16,32,0.00032095900025727413,2.5592108570833637e-05,"[96, 75, 37]","[0.17887607324660304, 0.17371862188679002, 0.2255151361803232]",75.0,COMPLETE
2,0.21517607887850407,2026-08-19 12:28:41.399780,2026-08-19 12:28:44.662701,0 days 00:00:03.262921,gelu,32,0.2,64,32,0.00020167775210403868,4.119194756319467e-06,"[98, 99, 56]","[0.25133512448754386, 0.18713698299829581, 0.20705612914967256]",98.0,COMPLETE
3,0.14947572790600105,2026-08-19 12:28:44.762268,2026-08-19 12:28:49.402118,0 days 00:00:04.639850,silu,16,0.1,16,32,0.0007377185554012516,2.6494084034430584e-07,"[91, 73, 98]","[0.1444759265657006, 0.15453253263773672, 0.1494187245145658]",91.0,COMPLETE
4,0.1847219396779024,2026-08-19 12:28:49.501793,2026-08-19 12:28:52.133846,0 days 00:00:02.632053,silu,32,0.2,16,32,0.0006747735720188567,8.902982711153794e-06,"[66, 90, 95]","[0.19154549872775264, 0.18167889010058572, 0.18094143020536885]",90.0,COMPLETE
5,0.15437311660154518,2026-08-19 12:28:52.233629,2026-08-19 12:28:54.818091,0 days 00:00:02.584462,relu,32,0.0,32,16,0.0003681329843795166,0.002776341708346362,"[49, 56, 41]","[0.1560600830653083, 0.16183726347241337, 0.14522200326691384]",49.0,COMPLETE
6,0.13972496972822787,2026-08-19 12:28:54.917276,2026-08-19 12:28:57.520847,0 days 00:00:02.603571,gelu,32,0.0,32,16,0.0004387863332947893,0.002500635839803016,"[41, 31, 31]","[0.14414380910120078, 0.13726671678510774, 0.137764383298375]",31.0,COMPLETE
7,0.38006772304740133,2026-08-19 12:28:57.620327,2026-08-19 12:28:59.406330,0 days 00:00:01.786003,relu,32,0.3,32,32,0.00020311541253461568,1.0820052740879068e-07,"[80, 34]","[0.4752462803969542, 0.2848891656978484]",,PRUNED
8,0.14595628945795885,2026-08-19 12:28:59.506029,2026-08-19 12:29:04.562924,0 days 00:00:05.056895,gelu,16,0.0,64,16,0.00090454563312797,7.846532302563544e-05,"[9, 30, 65]","[0.15041787576744903, 0.14049994898140733, 0.1469510436250202]",30.0,COMPLETE
9,0.23319732695815365,2026-08-19 12:29:04.827118,2026-08-19 12:29:06.789644,0 days 00:00:01.962526,gelu,32,0.3,32,32,0.0005476594863940497,1.0019323107058683e-06,"[95, 98]","[0.24451806854848349, 0.2218765853678238]",,PRUNED
10,0.1586500216891351,2026-08-19 12:29:06.930922,2026-08-19 12:29:10.046348,0 days 00:00:03.115426,relu,16,0.0,32,16,0.00027184860196118634,0.000296503865015781,"[41, 60]","[0.15587598851112086, 0.1614240548671494]",,PRUNED
11,0.1414093838056691,2026-08-19 12:29:10.155954,2026-08-19 12:29:12.761569,0 days 00:00:02.605615,gelu,32,0.0,32,16,0.00045464653380766806,0.002778764895966418,"[41, 23, 29]","[0.1444407282037885, 0.1416443190852212, 0.13814310412799752]",29.0,COMPLETE
