number,value,datetime_start,datetime_complete,duration,params_activation,params_adam_learning_rate,params_adamw_learning_rate,params_batch_size,params_dropout,params_embedding_dim,params_hidden_dim,params_hidden_dim_2,params_optimizer,params_rmsprop_learning_rate,params_weight_decay,user_attrs_fold_epochs,user_attrs_fold_scores,user_attrs_recommended_epochs,state
0,0.20693250676858202,2026-08-20 13:48:57.506524,2026-08-20 13:49:16.802509,0 days 00:00:19.295985,relu,,0.0009908433809192958,16,0.0,4,32,16,adamw,,1.8393727699389582e-05,"[34, 40, 52]","[0.19980440950554806, 0.23362523534556726, 0.1873678754546308]",40.0,COMPLETE
1,0.2101612576158326,2026-08-20 13:49:16.905129,2026-08-20 13:49:36.095902,0 days 00:00:19.190773,silu,,0.0004595041739214871,16,0.0,2,32,32,adamw,,5.431649269585544e-05,"[96, 60, 88]","[0.18113511078219696, 0.25980305613528476, 0.1895456059300161]",88.0,COMPLETE
2,0.2502088348255596,2026-08-20 13:49:36.199173,2026-08-20 13:49:46.389711,0 days 00:00:10.190538,gelu,,0.0007594891937196535,32,0.0,2,16,16,adamw,,0.0006675332557234355,"[44, 93, 100]","[0.22251212706167903, 0.26847531880008746, 0.2596390586149124]",93.0,COMPLETE
3,0.23879886007414783,2026-08-20 13:49:46.491168,2026-08-20 13:49:56.746614,0 days 00:00:10.255446,relu,0.0005006867092487975,,32,0.0,4,16,16,adam,,0.0005873441858074232,"[94, 76, 96]","[0.23591984919089118, 0.26988968388666196, 0.21058704714489032]",94.0,COMPLETE
4,0.1608774971780196,2026-08-20 13:49:56.849011,2026-08-20 13:50:16.339767,0 days 00:00:19.490756,gelu,0.0007970707387311769,,16,0.0,8,64,16,adam,,1.7148994541150932e-06,"[33, 78, 60]","[0.14594127154703831, 0.17644769958715684, 0.16024352039986367]",60.0,COMPLETE
5,0.16464433999423855,2026-08-20 13:50:16.441604,2026-08-20 13:50:35.994187,0 days 00:00:19.552583,gelu,0.000992676864000753,,16,0.0,8,64,32,adam,,1.194620876284463e-07,"[65, 51, 39]","[0.1515019410967587, 0.18395622438684697, 0.15847485449911]",51.0,COMPLETE
6,0.1817662296314967,2026-08-20 13:50:36.100350,2026-08-20 13:50:53.523162,0 days 00:00:17.422812,gelu,,,16,0.0,8,64,16,rmsprop,0.0005980342919124214,1.672030946569419e-07,"[82, 67, 82]","[0.15030864541596756, 0.21239166634202292, 0.18259837713649965]",82.0,COMPLETE
7,0.1640127645468655,2026-08-20 13:50:53.632267,2026-08-20 13:51:13.123628,0 days 00:00:19.491361,silu,0.0002196219216498502,,16,0.0,8,64,16,adam,,2.625398622964544e-06,"[95, 92, 91]","[0.14734248976419143, 0.18954954074041588, 0.15514626313598923]",92.0,COMPLETE
8,0.18307776740328183,2026-08-20 13:51:13.226925,2026-08-20 13:51:22.683793,0 days 00:00:09.456868,gelu,,,32,0.0,8,64,32,rmsprop,0.008487812118978828,0.0027379365506130415,"[98, 79, 95]","[0.20174609065775953, 0.185748769353299, 0.16173844219878697]",95.0,COMPLETE
9,0.16379981863436152,2026-08-20 13:51:22.786224,2026-08-20 13:51:42.369581,0 days 00:00:19.583357,gelu,0.000989726599478576,,16,0.0,8,64,16,adam,,1.7428183713420553e-06,"[49, 61, 56]","[0.15419161730243647, 0.17584168899572084, 0.1613661496049273]",56.0,COMPLETE
10,0.41816420170087565,2026-08-20 13:51:42.470513,2026-08-20 13:51:49.292460,0 days 00:00:06.821947,relu,0.0002052056698190897,,32,0.0,2,32,32,adam,,4.304321377349366e-05,"[95, 98]","[0.43520021515471846, 0.4011281882470328]",,PRUNED
11,0.16609514240110826,2026-08-20 13:51:49.393930,2026-08-20 13:52:09.041383,0 days 00:00:19.647453,gelu,0.0009797047007266443,,16,0.0,8,64,16,adam,,1.511102626237973e-06,"[57, 50, 55]","[0.15456595027107875, 0.1861484537963682, 0.15757102313587784]",55.0,COMPLETE
12,0.16221629278796534,2026-08-20 13:52:09.145517,2026-08-20 13:52:28.863629,0 days 00:00:19.718112,gelu,0.0006454416906143098,,16,0.0,8,64,16,adam,,1.3650094997084818e-06,"[42, 37, 34]","[0.14331861733276116, 0.18494403038099447, 0.15838623065014043]",37.0,COMPLETE
13,0.16498927533898888,2026-08-20 13:52:28.966336,2026-08-20 13:52:48.552691,0 days 00:00:19.586355,gelu,0.0005746644723565412,,16,0.0,8,64,16,adam,,5.372852077977271e-07,"[47, 87, 42]","[0.14180728900282655, 0.18793201536109136, 0.16522852165304874]",47.0,COMPLETE
14,0.16818651796394013,2026-08-20 13:52:48.656707,2026-08-20 13:53:08.199123,0 days 00:00:19.542416,gelu,0.0005989724372248497,,16,0.0,8,64,16,adam,,7.538046386024241e-06,"[49, 61, 37]","[0.15180674908416864, 0.18563938835799507, 0.1671134164496567]",49.0,COMPLETE
