number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_hidden_dim,params_hidden_dim_2,params_learning_rate,params_weight_decay,user_attrs_fold_epochs,user_attrs_fold_scores,user_attrs_recommended_epochs,state
0,0.1424012616429096,2026-08-18 20:32:56.526092,2026-08-18 20:33:01.149077,0 days 00:00:04.622985,gelu,16,32,32,0.0004968489899721994,0.0003218371567259421,"[11, 21, 23]","[0.15024138828822653, 0.14023655286052059, 0.1367258437799816]",21.0,COMPLETE
1,0.14517270724329678,2026-08-18 20:33:01.250118,2026-08-18 20:33:03.928568,0 days 00:00:02.678450,gelu,32,32,32,0.000988127749887291,3.2251999719722266e-06,"[11, 18, 17]","[0.15273680358873132, 0.14407996099536216, 0.1387013571457969]",17.0,COMPLETE
2,0.1449897925529646,2026-08-18 20:33:04.024675,2026-08-18 20:33:08.532770,0 days 00:00:04.508095,silu,16,32,32,0.0004595041739214871,5.431649269585544e-05,"[17, 35, 20]","[0.15531723138159745, 0.14684418095855292, 0.1328079653187434]",20.0,COMPLETE
3,0.14225551249265356,2026-08-18 20:33:08.629527,2026-08-18 20:33:11.222009,0 days 00:00:02.592482,gelu,32,16,16,0.00020167775210403868,4.119194756319467e-06,"[52, 58, 55]","[0.15801236206944883, 0.13866149458528262, 0.13009268082322922]",55.0,COMPLETE
4,0.14559215712811105,2026-08-18 20:33:11.324893,2026-08-18 20:33:14.030872,0 days 00:00:02.705979,silu,32,16,32,0.0004991958135057747,3.0944627114845256e-07,"[25, 36, 50]","[0.16259020868124255, 0.13983676651254323, 0.1343494961905474]",36.0,COMPLETE
5,0.15760375534647536,2026-08-18 20:33:14.128869,2026-08-18 20:33:15.862376,0 days 00:00:01.733507,relu,32,16,16,0.0002032261542997178,0.002124446747303189,"[52, 74]","[0.1671963117824564, 0.14801119891049433]",,PRUNED
6,0.14161427459297513,2026-08-18 20:33:15.968658,2026-08-18 20:33:18.737691,0 days 00:00:02.769033,gelu,32,64,16,0.0002138896316696847,1.0876754641473549e-07,"[32, 39, 44]","[0.15054959327960618, 0.14359378630807765, 0.1306994441912415]",39.0,COMPLETE
7,0.15006172217935418,2026-08-18 20:33:18.835889,2026-08-18 20:33:20.650699,0 days 00:00:01.814810,relu,32,64,16,0.0003213301064370121,1.0809126262172465e-07,"[25, 45]","[0.15732709511072476, 0.1427963492479836]",,PRUNED
8,0.1428619648141968,2026-08-18 20:33:20.745898,2026-08-18 20:33:25.497280,0 days 00:00:04.751382,gelu,16,64,16,0.000939945716869706,1.90441385211537e-05,"[13, 21, 36]","[0.144766415985745, 0.14585406329155587, 0.13796541516528957]",21.0,COMPLETE
9,0.1411341085272151,2026-08-18 20:33:25.591723,2026-08-18 20:33:28.333400,0 days 00:00:02.741677,gelu,32,64,16,0.00031417980058577187,9.448234155529952e-07,"[25, 31, 30]","[0.14882405293017698, 0.14397569316682182, 0.13060257948464654]",30.0,COMPLETE
10,0.1528667106923024,2026-08-18 20:33:28.430267,2026-08-18 20:33:31.561395,0 days 00:00:03.131128,relu,16,64,16,0.00032380641378982667,0.002132428665734923,"[22, 29]","[0.15719208610461108, 0.14854133527999375]",,PRUNED
11,0.14046790328227554,2026-08-18 20:33:31.656898,2026-08-18 20:33:34.400598,0 days 00:00:02.743700,gelu,32,64,16,0.00028117140010949565,7.680037835268561e-07,"[25, 33, 30]","[0.1486987151488896, 0.1418083433412831, 0.13089665135665396]",30.0,COMPLETE
