mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__regressor__random_strength,param_model__regressor__learning_rate,param_model__regressor__l2_leaf_reg,param_model__regressor__iterations,param_model__regressor__depth,param_model__regressor__bagging_temperature,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.7632060845692953,0.034120849420312224,0.012118975321451822,0.0004938301410355909,0.5,0.03,3.0,500,4,1.0,"{'model__regressor__random_strength': 0.5, 'model__regressor__learning_rate': 0.03, 'model__regressor__l2_leaf_reg': 3.0, 'model__regressor__iterations': 500, 'model__regressor__depth': 4, 'model__regressor__bagging_temperature': 1.0}",-0.1330992099588097,-0.12733467798512388,-0.11691538015739321,-0.12578308936710894,0.006697494914268033,17,-0.08393662898097061,-0.08903995443463668,-0.08763139743036055,-0.08686932694865594,0.002151982998046703
9.4922776222229,0.5031618459962071,0.015079418818155924,0.002843717692860805,1.0,0.01,5.0,2000,6,5.0,"{'model__regressor__random_strength': 1.0, 'model__regressor__learning_rate': 0.01, 'model__regressor__l2_leaf_reg': 5.0, 'model__regressor__iterations': 2000, 'model__regressor__depth': 6, 'model__regressor__bagging_temperature': 5.0}",-0.13178774315747643,-0.12795337203295373,-0.1190882548024547,-0.12627645666429496,0.005318413609656306,19,-0.07261906726091627,-0.07575569618296513,-0.07627607297192407,-0.07488361213860183,0.0016153060861460505
7.423458973566691,0.3709401916494144,0.014622926712036133,0.001615534988421955,0.5,0.03,5.0,500,8,0.5,"{'model__regressor__random_strength': 0.5, 'model__regressor__learning_rate': 0.03, 'model__regressor__l2_leaf_reg': 5.0, 'model__regressor__iterations': 500, 'model__regressor__depth': 8, 'model__regressor__bagging_temperature': 0.5}",-0.13302457688591765,-0.12601208364784433,-0.11991496961382338,-0.1263172100491951,0.00535632195309043,20,-0.0572362476149743,-0.06327609323911997,-0.05986102610063341,-0.06012445565157589,0.0024727825267783134
8.536354700724283,0.5556190390519538,0.014049291610717773,0.0006816391207140202,0.0,0.05,5.0,1000,7,0.5,"{'model__regressor__random_strength': 0.0, 'model__regressor__learning_rate': 0.05, 'model__regressor__l2_leaf_reg': 5.0, 'model__regressor__iterations': 1000, 'model__regressor__depth': 7, 'model__regressor__bagging_temperature': 0.5}",-0.12947754434784997,-0.11979853188536349,-0.1196081956656496,-0.12296142396628769,0.0046082480828323665,5,-0.017347134867148135,-0.02230094796503858,-0.019707931692565846,-0.01978533817491752,0.002023126273014164
3.0307379563649497,0.18632573411688366,0.014237642288208008,0.0016807648904995855,1.0,0.05,3.0,1000,5,2.0,"{'model__regressor__random_strength': 1.0, 'model__regressor__learning_rate': 0.05, 'model__regressor__l2_leaf_reg': 3.0, 'model__regressor__iterations': 1000, 'model__regressor__depth': 5, 'model__regressor__bagging_temperature': 2.0}",-0.12248275203953304,-0.12195216126802294,-0.113921161725768,-0.119452025011108,0.003916905083740171,1,-0.043332756882762426,-0.04663334338612748,-0.04629324613905027,-0.04541978213598006,0.0014822668091009489
7.8245530128479,0.5884900173473089,0.011488676071166992,0.0009235284125401959,0.0,0.05,5.0,500,8,5.0,"{'model__regressor__random_strength': 0.0, 'model__regressor__learning_rate': 0.05, 'model__regressor__l2_leaf_reg': 5.0, 'model__regressor__iterations': 500, 'model__regressor__depth': 8, 'model__regressor__bagging_temperature': 5.0}",-0.13816135801511198,-0.13216648312422663,-0.12686410612688748,-0.1323973157554087,0.004614971132752753,27,-0.04103225244864084,-0.04295444136204158,-0.04271291229899149,-0.04223320203655797,0.0008549050655338714
1.890208641688029,0.0873069077093881,0.014142592748006185,0.0023769817577354605,1.0,0.01,5.0,1000,4,1.0,"{'model__regressor__random_strength': 1.0, 'model__regressor__learning_rate': 0.01, 'model__regressor__l2_leaf_reg': 5.0, 'model__regressor__iterations': 1000, 'model__regressor__depth': 4, 'model__regressor__bagging_temperature': 1.0}",-0.13662772520309005,-0.13162954380620845,-0.11910158066730021,-0.12911961655886622,0.007371849006527563,23,-0.10133060953803462,-0.10384722499410627,-0.10585239214058638,-0.10367674222424243,0.001849941937341148
3.6826043128967285,0.17725873443891724,0.012269179026285807,0.0012040973441319255,0.5,0.01,10.0,2000,4,1.0,"{'model__regressor__random_strength': 0.5, 'model__regressor__learning_rate': 0.01, 'model__regressor__l2_leaf_reg': 10.0, 'model__regressor__iterations': 2000, 'model__regressor__depth': 4, 'model__regressor__bagging_temperature': 1.0}",-0.1327721624871129,-0.12857100679627914,-0.11592836956698468,-0.12575717961679225,0.0071585174224395,16,-0.08839142080542982,-0.09263978763648938,-0.09204423795779758,-0.09102514879990559,0.0018781306693290375
2.4158221085866294,0.15582025147776604,0.010664621988932291,0.00039141391121531627,0.5,0.1,1.0,500,6,5.0,"{'model__regressor__random_strength': 0.5, 'model__regressor__learning_rate': 0.1, 'model__regressor__l2_leaf_reg': 1.0, 'model__regressor__iterations': 500, 'model__regressor__depth': 6, 'model__regressor__bagging_temperature': 5.0}",-0.13161297718230083,-0.1300976984879256,-0.11934014292684784,-0.1270169395323581,0.0054634495801454425,21,-0.026241333788490445,-0.02740444830740494,-0.02830495472581362,-0.027316912273903,0.000844740497080054
8.461848258972168,0.49466576402760803,0.012572367986043295,0.0008976357936354887,0.0,0.01,3.0,1000,7,0.5,"{'model__regressor__random_strength': 0.0, 'model__regressor__learning_rate': 0.01, 'model__regressor__l2_leaf_reg': 3.0, 'model__regressor__iterations': 1000, 'model__regressor__depth': 7, 'model__regressor__bagging_temperature': 0.5}",-0.1325468995983573,-0.12281422202344121,-0.12004733122247753,-0.12513615094809202,0.0053605545636106824,12,-0.06500375171688895,-0.06999789412266962,-0.06757044625066676,-0.06752403069674177,0.002039114251341956
23.292681376139324,1.6112513682258567,0.014133373896280924,0.001052826144648949,1.0,0.01,20.0,1500,8,2.0,"{'model__regressor__random_strength': 1.0, 'model__regressor__learning_rate': 0.01, 'model__regressor__l2_leaf_reg': 20.0, 'model__regressor__iterations': 1500, 'model__regressor__depth': 8, 'model__regressor__bagging_temperature': 2.0}",-0.13786506688188663,-0.1345371487008988,-0.12463695244774455,-0.13234638934350998,0.005618144580563914,26,-0.09016318609449848,-0.09352852702741217,-0.09375453891077097,-0.09248208401089388,0.0016423024493785162
2.4911553064982095,0.13812893916167046,0.013677517573038736,0.0020945602906132827,1.0,0.03,10.0,500,6,5.0,"{'model__regressor__random_strength': 1.0, 'model__regressor__learning_rate': 0.03, 'model__regressor__l2_leaf_reg': 10.0, 'model__regressor__iterations': 500, 'model__regressor__depth': 6, 'model__regressor__bagging_temperature': 5.0}",-0.13574612905031383,-0.13235088912311535,-0.12304790304706281,-0.13038164040683067,0.005367786091574548,24,-0.09262597540890516,-0.09504332025958052,-0.09744459205713935,-0.09503796257520834,0.001967195656977429
4.321436166763306,0.16212429032862036,0.012857516606648764,0.0013537043610677036,0.0,0.1,10.0,500,7,1.0,"{'model__regressor__random_strength': 0.0, 'model__regressor__learning_rate': 0.1, 'model__regressor__l2_leaf_reg': 10.0, 'model__regressor__iterations': 500, 'model__regressor__depth': 7, 'model__regressor__bagging_temperature': 1.0}",-0.13296238166037427,-0.1227154268866107,-0.11965262314810998,-0.12511014389836497,0.005691421620209779,11,-0.03334898578299514,-0.039447871057745706,-0.03659808560877219,-0.036464980816504344,0.00249163775630084
2.4410093625386557,0.1555205395263338,0.011432647705078125,0.00021818804329159182,0.5,0.05,10.0,500,6,0.0,"{'model__regressor__random_strength': 0.5, 'model__regressor__learning_rate': 0.05, 'model__regressor__l2_leaf_reg': 10.0, 'model__regressor__iterations': 500, 'model__regressor__depth': 6, 'model__regressor__bagging_temperature': 0.0}",-0.13429688421120045,-0.12373671682432975,-0.11660316049344663,-0.12487892050965894,0.007268444890719322,9,-0.07247304904143045,-0.07267400030940024,-0.07335185701054477,-0.07283296878712515,0.0003759690539812525
16.093977689743042,1.145153442390553,0.01465002695719401,0.0009768531328762221,0.5,0.03,1.0,1000,8,0.0,"{'model__regressor__random_strength': 0.5, 'model__regressor__learning_rate': 0.03, 'model__regressor__l2_leaf_reg': 1.0, 'model__regressor__iterations': 1000, 'model__regressor__depth': 8, 'model__regressor__bagging_temperature': 0.0}",-0.1292298670157955,-0.12153654826475092,-0.11755116938101601,-0.12277252822052082,0.004847248666301997,4,-0.013085310549464008,-0.013808246570692705,-0.012608283726296939,-0.013167280282151217,0.0004932997633557129
1.8907605012257893,0.10404376669135197,0.011011441548665365,0.0004393369087452469,0.0,0.03,5.0,1000,4,0.0,"{'model__regressor__random_strength': 0.0, 'model__regressor__learning_rate': 0.03, 'model__regressor__l2_leaf_reg': 5.0, 'model__regressor__iterations': 1000, 'model__regressor__depth': 4, 'model__regressor__bagging_temperature': 0.0}",-0.1311887408103518,-0.12459068067447777,-0.1167040054931525,-0.12416114232599403,0.005921163551022937,8,-0.06326491408727837,-0.0712899191369938,-0.06870099971065315,-0.06775194431164178,0.0033442195028420816
1.8979191780090332,0.0587778130668719,0.012802839279174805,0.0011880994824877184,0.5,0.1,5.0,1000,4,2.0,"{'model__regressor__random_strength': 0.5, 'model__regressor__learning_rate': 0.1, 'model__regressor__l2_leaf_reg': 5.0, 'model__regressor__iterations': 1000, 'model__regressor__depth': 4, 'model__regressor__bagging_temperature': 2.0}",-0.1271663130798039,-0.12351823654709294,-0.11673881230591075,-0.12247445397760254,0.0043205173021035725,2,-0.04133026388188376,-0.04616098146971975,-0.04453127300122544,-0.04400750611760965,0.002006606906303349
25.845890045166016,1.695038370163668,0.045342604319254555,0.022962571449899653,1.0,0.1,20.0,1500,8,1.0,"{'model__regressor__random_strength': 1.0, 'model__regressor__learning_rate': 0.1, 'model__regressor__l2_leaf_reg': 20.0, 'model__regressor__iterations': 1500, 'model__regressor__depth': 8, 'model__regressor__bagging_temperature': 1.0}",-0.1285372847213663,-0.12363064795739082,-0.11560465190383051,-0.12259086152752922,0.005330673175944052,3,-0.008866640689681165,-0.011369209742125823,-0.009780320141642576,-0.010005390191149854,0.0010339907675127292
1.5960047245025635,0.04753814013967241,0.015355904897054037,0.0017247034818313849,0.0,0.05,10.0,500,5,0.5,"{'model__regressor__random_strength': 0.0, 'model__regressor__learning_rate': 0.05, 'model__regressor__l2_leaf_reg': 10.0, 'model__regressor__iterations': 500, 'model__regressor__depth': 5, 'model__regressor__bagging_temperature': 0.5}",-0.1331445488572962,-0.12490184644071935,-0.1166966087615689,-0.12491433468652814,0.0067148492321307835,10,-0.07120777711211783,-0.07686891344318628,-0.07361967379614673,-0.07389878811715027,0.00231956098473795
4.657792409261067,0.32521663065877465,0.014532089233398438,0.0006030589847112008,0.5,0.1,10.0,500,7,5.0,"{'model__regressor__random_strength': 0.5, 'model__regressor__learning_rate': 0.1, 'model__regressor__l2_leaf_reg': 10.0, 'model__regressor__iterations': 500, 'model__regressor__depth': 7, 'model__regressor__bagging_temperature': 5.0}",-0.13724134482346592,-0.13424174984495027,-0.12148474808765677,-0.130989280918691,0.006831373739882754,25,-0.04001825892595922,-0.04286583097081508,-0.04234633139441227,-0.041743473763728854,0.0012382096294828433
2.0367936293284097,0.05833170979533854,0.015229225158691406,0.002065836990308475,0.0,0.1,20.0,1000,4,0.0,"{'model__regressor__random_strength': 0.0, 'model__regressor__learning_rate': 0.1, 'model__regressor__l2_leaf_reg': 20.0, 'model__regressor__iterations': 1000, 'model__regressor__depth': 4, 'model__regressor__bagging_temperature': 0.0}",-0.13236344306928977,-0.12744102780476604,-0.11774173463072211,-0.1258487351682593,0.006074544498469291,18,-0.05530307996078611,-0.06268895104200345,-0.05770044304015692,-0.05856415801431549,0.0030764996965740097
4.473504225413005,0.23336533785688338,0.02225073178609212,0.0073667098392654435,0.0,0.01,10.0,2000,4,2.0,"{'model__regressor__random_strength': 0.0, 'model__regressor__learning_rate': 0.01, 'model__regressor__l2_leaf_reg': 10.0, 'model__regressor__iterations': 2000, 'model__regressor__depth': 4, 'model__regressor__bagging_temperature': 2.0}",-0.1327004493381564,-0.1286114266550896,-0.11447636252416162,-0.1252627461724692,0.00780767062070016,13,-0.0903808211913317,-0.09376007950269252,-0.09393205490849467,-0.09269098520083963,0.0016350407126775204
2.77258563041687,0.11953374854577768,0.019916296005249023,0.0024673836424614136,0.5,0.01,1.0,1000,4,2.0,"{'model__regressor__random_strength': 0.5, 'model__regressor__learning_rate': 0.01, 'model__regressor__l2_leaf_reg': 1.0, 'model__regressor__iterations': 1000, 'model__regressor__depth': 4, 'model__regressor__bagging_temperature': 2.0}",-0.13216356455127945,-0.12751831026963634,-0.11662246717874446,-0.12543478066655342,0.0065134347616213305,14,-0.09256690069602465,-0.09558367407029172,-0.09683660820943843,-0.09499572765858492,0.0017919935453389506
18.225274801254272,1.478238133932893,0.014168659845987955,0.0013184074219376,2.0,0.05,1.0,2000,7,2.0,"{'model__regressor__random_strength': 2.0, 'model__regressor__learning_rate': 0.05, 'model__regressor__l2_leaf_reg': 1.0, 'model__regressor__iterations': 2000, 'model__regressor__depth': 7, 'model__regressor__bagging_temperature': 2.0}",-0.12842072098377466,-0.12404225997109278,-0.11668932382243977,-0.1230507682591024,0.004840365805766703,6,-0.0020054022320479337,-0.0022447791216844296,-0.002338057832237447,-0.0021960797286566035,0.00014010391440003942
8.014004707336426,0.6441913230067089,0.013596296310424805,0.002392875167101333,0.5,0.01,10.0,500,8,1.0,"{'model__regressor__random_strength': 0.5, 'model__regressor__learning_rate': 0.01, 'model__regressor__l2_leaf_reg': 10.0, 'model__regressor__iterations': 500, 'model__regressor__depth': 8, 'model__regressor__bagging_temperature': 1.0}",-0.15509434836067892,-0.14677220557202966,-0.13889294415615738,-0.14691983269628864,0.006615019268071449,30,-0.11411671613538053,-0.1180142039355221,-0.1188546551375999,-0.11699519173616751,0.002064106892260017
