number,value,datetime_start,datetime_complete,duration,params_activation,params_adam_learning_rate,params_adamw_learning_rate,params_batch_size,params_dropout,params_hidden_dim,params_hidden_dim_2,params_optimizer,params_rmsprop_learning_rate,params_weight_decay,user_attrs_fold_epochs,user_attrs_fold_scores,user_attrs_recommended_epochs,state
0,0.14107481955659848,2026-08-19 15:14:10.960869,2026-08-19 15:14:16.343058,0 days 00:00:05.382189,gelu,0.0006340681480877335,,16,0.0,32,32,adam,,2.7549376452056877e-06,"[17, 16, 18]","[0.15120668507750168, 0.12923467575285338, 0.14278309783944032]",17.0,COMPLETE
1,0.14071958557362102,2026-08-19 15:14:16.443973,2026-08-19 15:14:19.103678,0 days 00:00:02.659705,silu,,0.0006948466812207145,32,0.0,32,16,adamw,,5.673875241795969e-06,"[41, 16, 30]","[0.1460596121272895, 0.13836780779393706, 0.1377313367996365]",30.0,COMPLETE
2,0.147239205204489,2026-08-19 15:14:19.204987,2026-08-19 15:14:23.540460,0 days 00:00:04.335473,gelu,,,16,0.0,32,32,rmsprop,0.00014367244478254873,3.1315453646186135e-07,"[79, 92, 58]","[0.16370415176422987, 0.13596395787686844, 0.14204950597236873]",79.0,COMPLETE
3,0.1421004367343389,2026-08-19 15:14:23.639519,2026-08-19 15:14:28.036948,0 days 00:00:04.397429,silu,,0.0004991958135057747,16,0.0,16,16,adamw,,3.0944627114845256e-07,"[19, 26, 37]","[0.14790592811156913, 0.13638674363782868, 0.14200863845361886]",26.0,COMPLETE
4,0.13699770748451542,2026-08-19 15:14:28.142443,2026-08-19 15:14:32.569650,0 days 00:00:04.427207,gelu,0.00023941264388777726,,16,0.0,16,32,adam,,5.8502460382892985e-05,"[54, 37, 54]","[0.1444518822405465, 0.12410641319077466, 0.14243482702222515]",54.0,COMPLETE
5,0.16929565582089356,2026-08-19 15:14:32.669031,2026-08-19 15:14:34.395410,0 days 00:00:01.726379,relu,0.0002092898984195704,,32,0.0,16,32,adam,,0.0028340946229767354,"[87, 87]","[0.16732458965183922, 0.1712667219899479]",,PRUNED
6,0.1672589267031459,2026-08-19 15:14:34.492611,2026-08-19 15:14:37.761502,0 days 00:00:03.268891,gelu,0.0002025455311407421,,16,0.0,64,32,adam,,0.0006043084670239861,"[54, 34]","[0.1979235392685495, 0.13659431413774228]",,PRUNED
7,0.15187037833597775,2026-08-19 15:14:37.859006,2026-08-19 15:14:41.927186,0 days 00:00:04.068180,relu,,,16,0.0,16,32,rmsprop,0.008013800294164911,0.00010893615683602513,"[87, 99, 91]","[0.14211230606757236, 0.16640054717456865, 0.14709828176579223]",,PRUNED
8,0.14876569243401144,2026-08-19 15:14:42.062613,2026-08-19 15:14:44.348661,0 days 00:00:02.286048,gelu,0.0009055155043966802,,32,0.0,64,16,adam,,2.660472170228291e-05,"[22, 25]","[0.14950134719125788, 0.14803003767676498]",,PRUNED
9,0.1346472823195162,2026-08-19 15:14:44.477872,2026-08-19 15:14:49.008770,0 days 00:00:04.530898,gelu,0.0003827723958626062,,16,0.0,16,32,adam,,7.324374822098845e-05,"[41, 27, 31]","[0.14054286750935457, 0.12319255488681617, 0.1402064245623779]",31.0,COMPLETE
10,0.15951795571781127,2026-08-19 15:14:49.111625,2026-08-19 15:14:50.802734,0 days 00:00:01.691109,relu,,0.000204604596399701,32,0.0,16,16,adamw,,2.519716057487531e-06,"[93, 74]","[0.15349941499100064, 0.1655364964446219]",,PRUNED
11,0.13681000180685235,2026-08-19 15:14:50.900255,2026-08-19 15:14:55.264582,0 days 00:00:04.364327,gelu,0.00037783349736923526,,16,0.0,16,32,adam,,7.301180772112154e-05,"[59, 25, 31]","[0.14342162867366282, 0.12644344158617335, 0.1405649351607209]",31.0,COMPLETE
12,0.13691362675887744,2026-08-19 15:14:55.367487,2026-08-19 15:15:00.095656,0 days 00:00:04.728169,gelu,0.0003911170779994522,,16,0.0,16,32,adam,,0.00031535620683809616,"[41, 25, 37]","[0.1460641806061418, 0.12345506108105941, 0.14122163858943115]",37.0,COMPLETE
13,0.13581001903560821,2026-08-19 15:15:00.204850,2026-08-19 15:15:04.721202,0 days 00:00:04.516352,gelu,0.0003873826024874192,,16,0.0,16,32,adam,,1.4458328665527495e-05,"[31, 25, 31]","[0.1431498678584928, 0.12381876811329276, 0.14046142113503907]",31.0,COMPLETE
14,0.13604791232486044,2026-08-19 15:15:04.856789,2026-08-19 15:15:09.263252,0 days 00:00:04.406463,gelu,0.0003975051216423377,,16,0.0,16,32,adam,,1.190187007052385e-05,"[22, 25, 31]","[0.14268976118051924, 0.12523896561497116, 0.14021501017909088]",25.0,COMPLETE
