number,value,datetime_start,datetime_complete,duration,params_activation,params_adam_learning_rate,params_adamw_learning_rate,params_batch_size,params_dropout,params_hidden_dim,params_hidden_dim_2,params_optimizer,params_rmsprop_learning_rate,params_weight_decay,user_attrs_fold_epochs,user_attrs_fold_scores,user_attrs_recommended_epochs,state
0,0.14300327037157365,2026-08-19 15:15:59.525315,2026-08-19 15:16:04.213784,0 days 00:00:04.688469,gelu,0.0006340681480877335,,16,0.0,32,32,adam,,2.7549376452056877e-06,"[15, 14, 19]","[0.14153901173149674, 0.1363085051838516, 0.15116229419937255]",15.0,COMPLETE
1,0.13755255135222386,2026-08-19 15:16:04.321530,2026-08-19 15:16:07.090178,0 days 00:00:02.768648,silu,,0.0006948466812207145,32,0.0,32,16,adamw,,5.673875241795969e-06,"[26, 29, 43]","[0.1358580433881829, 0.1294797073109969, 0.14731990335749182]",29.0,COMPLETE
2,0.14140899966370282,2026-08-19 15:16:07.200013,2026-08-19 15:16:11.416114,0 days 00:00:04.216101,gelu,,,16,0.0,32,32,rmsprop,0.00014367244478254873,3.1315453646186135e-07,"[76, 59, 64]","[0.14404091118607532, 0.13025387622897117, 0.14993221157606204]",64.0,COMPLETE
3,0.14687858546359608,2026-08-19 15:16:11.519361,2026-08-19 15:16:15.947962,0 days 00:00:04.428601,silu,,0.0004991958135057747,16,0.0,16,16,adamw,,3.0944627114845256e-07,"[28, 27, 32]","[0.144083638258518, 0.13089024412716754, 0.16566187400510268]",28.0,COMPLETE
4,0.1563033577420083,2026-08-19 15:16:16.050628,2026-08-19 15:16:20.451771,0 days 00:00:04.401143,gelu,0.00023941264388777726,,16,0.0,16,32,adam,,5.8502460382892985e-05,"[35, 47, 32]","[0.13407457978089252, 0.12673782934894237, 0.20809766409619002]",35.0,COMPLETE
5,0.14152735572385786,2026-08-19 15:16:20.550819,2026-08-19 15:16:23.400744,0 days 00:00:02.849925,silu,,0.0009659054709974271,32,0.0,64,16,adamw,,0.002777289075485383,"[13, 15, 19]","[0.13793678468079854, 0.13076031813675945, 0.15588496435401553]",15.0,COMPLETE
6,0.1387828192329814,2026-08-19 15:16:23.500386,2026-08-19 15:16:25.284338,0 days 00:00:01.783952,relu,,0.0002031703288533607,32,0.0,32,16,adamw,,4.28312207080013e-05,"[52, 71]","[0.1464325695863821, 0.13113306887958073]",,PRUNED
7,0.14736756810031137,2026-08-19 15:16:25.385490,2026-08-19 15:16:27.298112,0 days 00:00:01.912622,silu,,,32,0.0,64,16,rmsprop,0.008013800294164911,0.002980019920980618,"[99, 98]","[0.14822827170728528, 0.1465068644933375]",,PRUNED
8,0.13872028008123743,2026-08-19 15:16:27.397013,2026-08-19 15:16:29.156091,0 days 00:00:01.759078,relu,,0.00032461026909322375,32,0.0,32,16,adamw,,6.93026401291137e-05,"[26, 34]","[0.1454939735040395, 0.13194658665843537]",,PRUNED
9,0.13885661947913017,2026-08-19 15:16:29.257085,2026-08-19 15:16:31.933761,0 days 00:00:02.676676,silu,,0.0008924625667191717,32,0.0,32,16,adamw,,4.428283766271837e-06,"[23, 15, 52]","[0.13784187357292563, 0.1291202417640211, 0.14960774310044384]",23.0,COMPLETE
10,0.13508600905155776,2026-08-19 15:16:32.039697,2026-08-19 15:16:33.755899,0 days 00:00:01.716202,silu,0.0009607830315517864,,32,0.0,16,32,adam,,0.000296503865015781,"[12, 29]","[0.13769397356874163, 0.1324780445343739]",,PRUNED
11,0.1390388991836388,2026-08-19 15:16:33.854484,2026-08-19 15:16:36.571016,0 days 00:00:02.716532,silu,,0.0008553629323383122,32,0.0,32,16,adamw,,4.3862613903650345e-06,"[22, 17, 51]","[0.13848787170299143, 0.1293215572749284, 0.14930726857299653]",22.0,COMPLETE
12,0.13813048614262435,2026-08-19 15:16:36.671621,2026-08-19 15:16:39.358343,0 days 00:00:02.686722,silu,,0.0006399917174076501,32,0.0,32,16,adamw,,4.005618128515311e-06,"[27, 29, 52]","[0.136022490204674, 0.12997730095638688, 0.14839166726681222]",29.0,COMPLETE
13,0.13746385225645408,2026-08-19 15:16:39.458558,2026-08-19 15:16:42.173865,0 days 00:00:02.715307,silu,,0.0005495264138707418,32,0.0,32,16,adamw,,1.3391403360088788e-06,"[35, 25, 73]","[0.13814923881656682, 0.12743998224469993, 0.14680233570809548]",35.0,COMPLETE
14,0.13536295938380602,2026-08-19 15:16:42.274037,2026-08-19 15:16:44.169233,0 days 00:00:01.895196,silu,,0.0004913633871546844,32,0.0,64,16,adamw,,1.0950521889148082e-06,"[26, 26]","[0.1402285073927783, 0.13049741137483373]",,PRUNED
