number,value,datetime_start,datetime_complete,duration,params_activation,params_adam_learning_rate,params_adamw_learning_rate,params_batch_size,params_dropout,params_embedding_dim,params_hidden_dim,params_hidden_dim_2,params_optimizer,params_rmsprop_learning_rate,params_weight_decay,user_attrs_fold_epochs,user_attrs_fold_scores,user_attrs_recommended_epochs,state
0,0.180567212762918,2026-08-20 13:45:07.500135,2026-08-20 13:45:27.220715,0 days 00:00:19.720580,relu,,0.0009908433809192958,16,0.0,4,32,16,adamw,,1.8393727699389582e-05,"[87, 51, 65]","[0.179591665725294, 0.19306254442246346, 0.16904742814099658]",65.0,COMPLETE
1,0.19431596758043915,2026-08-20 13:45:27.334707,2026-08-20 13:45:46.884453,0 days 00:00:19.549746,silu,,0.0004595041739214871,16,0.0,2,32,32,adamw,,5.431649269585544e-05,"[92, 95, 92]","[0.18953591238798614, 0.23746564826939917, 0.15594634208393213]",92.0,COMPLETE
2,0.23789556050865265,2026-08-20 13:45:46.988205,2026-08-20 13:45:57.464182,0 days 00:00:10.475977,gelu,,0.0007594891937196535,32,0.0,2,16,16,adamw,,0.0006675332557234355,"[62, 97, 74]","[0.20703185828368248, 0.2661327983683918, 0.2405220248738836]",74.0,COMPLETE
3,0.2035849036459153,2026-08-20 13:45:57.567181,2026-08-20 13:46:07.976447,0 days 00:00:10.409266,relu,0.0005006867092487975,,32,0.0,4,16,16,adam,,0.0005873441858074232,"[94, 99, 100]","[0.19881708488639163, 0.2267852562595422, 0.18515236979181204]",99.0,COMPLETE
4,0.16131855238128737,2026-08-20 13:46:08.079966,2026-08-20 13:46:27.813279,0 days 00:00:19.733313,gelu,0.0007970707387311769,,16,0.0,8,64,16,adam,,1.7148994541150932e-06,"[65, 57, 48]","[0.15010032601159656, 0.1811184086676318, 0.1527369224646338]",57.0,COMPLETE
5,0.16198955044630448,2026-08-20 13:46:27.917771,2026-08-20 13:46:47.768420,0 days 00:00:19.850649,gelu,0.000992676864000753,,16,0.0,8,64,32,adam,,1.194620876284463e-07,"[47, 37, 68]","[0.1380217610403219, 0.17956081801108414, 0.16838607228750732]",47.0,COMPLETE
6,0.18851876365167633,2026-08-20 13:46:47.878319,2026-08-20 13:47:05.480431,0 days 00:00:17.602112,gelu,,,16,0.0,8,64,16,rmsprop,0.0005980342919124214,1.672030946569419e-07,"[87, 88, 85]","[0.16804688699990972, 0.21456789907294416, 0.18294150488217517]",87.0,COMPLETE
7,0.15969572789818545,2026-08-20 13:47:05.596472,2026-08-20 13:47:25.784104,0 days 00:00:20.187632,silu,0.0002196219216498502,,16,0.0,8,64,16,adam,,2.625398622964544e-06,"[92, 78, 98]","[0.14367108240019433, 0.1829032348872875, 0.15251286640707457]",92.0,COMPLETE
8,0.15827364122761828,2026-08-20 13:47:25.886547,2026-08-20 13:47:35.614043,0 days 00:00:09.727496,silu,,,32,0.0,8,64,32,rmsprop,0.008487812118978828,4.758650998272583e-06,"[88, 90, 97]","[0.1367237205440221, 0.17867705358997413, 0.15942014954885858]",90.0,COMPLETE
9,0.1642295210640059,2026-08-20 13:47:35.719090,2026-08-20 13:47:45.193138,0 days 00:00:09.474048,silu,,,32,0.0,8,64,32,rmsprop,0.009708844038341678,0.0026277042674142242,"[82, 86, 82]","[0.1654517507894686, 0.16142478605372984, 0.16581202634881922]",82.0,COMPLETE
10,0.42514536300902783,2026-08-20 13:47:45.297374,2026-08-20 13:47:51.467321,0 days 00:00:06.169947,silu,,,32,0.0,2,32,32,rmsprop,0.00010750643328625461,4.304321377349366e-05,"[100, 100]","[0.35462242720093107, 0.49566829881712465]",,PRUNED
11,0.17454562759917913,2026-08-20 13:47:51.573420,2026-08-20 13:48:03.460777,0 days 00:00:11.887357,silu,0.00021274208761444543,,32,0.0,8,64,32,adam,,2.6439167218787126e-06,"[92, 61, 98]","[0.15435075806457588, 0.20083303394745688, 0.1684530907855046]",92.0,COMPLETE
12,0.15497937833561923,2026-08-20 13:48:03.575071,2026-08-20 13:48:23.083804,0 days 00:00:19.508733,silu,,,16,0.0,8,64,16,rmsprop,0.009493735756658968,2.81392035810216e-06,"[87, 93, 99]","[0.1397094347447236, 0.1632690107963583, 0.16195968946577574]",93.0,COMPLETE
13,0.1598624826309018,2026-08-20 13:48:23.196496,2026-08-20 13:48:32.640007,0 days 00:00:09.443511,silu,,,32,0.0,8,64,32,rmsprop,0.009352925180383814,7.824699884113323e-07,"[98, 93, 87]","[0.13846740292282728, 0.1728064448649203, 0.16831360010495783]",93.0,COMPLETE
14,0.16014141564205475,2026-08-20 13:48:32.741547,2026-08-20 13:48:50.046877,0 days 00:00:17.305330,silu,,,16,0.0,8,64,16,rmsprop,0.0035038866355659617,1.2374404429823602e-05,"[95, 87, 97]","[0.1584871422866142, 0.17533248351209896, 0.1466046211274511]",95.0,COMPLETE
