number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_hidden_dim,params_hidden_dim_2,params_learning_rate,params_weight_decay,user_attrs_fold_epochs,user_attrs_fold_scores,user_attrs_recommended_epochs,state
0,0.7819258365798927,2026-08-19 11:12:12.899296,2026-08-19 11:12:19.256662,0 days 00:00:06.357366,gelu,16,32,32,0.0004968489899721994,0.0003218371567259421,"[99, 98, 98]","[0.5858640453235647, 0.7031670290587234, 1.05674643535739]",98.0,COMPLETE
1,0.7314750508492324,2026-08-19 11:12:19.358267,2026-08-19 11:12:23.004955,0 days 00:00:03.646688,gelu,32,32,32,0.000988127749887291,3.2251999719722266e-06,"[95, 99, 98]","[0.6149695360255035, 0.6723913900630528, 0.9070642264591409]",98.0,COMPLETE
2,0.8454415923500141,2026-08-19 11:12:23.103351,2026-08-19 11:12:29.467997,0 days 00:00:06.364646,silu,16,32,32,0.0004595041739214871,5.431649269585544e-05,"[99, 100, 98]","[0.5463408314371081, 0.7906614139405215, 1.199322531672413]",99.0,COMPLETE
3,1.3196939917402606,2026-08-19 11:12:29.565481,2026-08-19 11:12:33.105333,0 days 00:00:03.539852,gelu,32,16,16,0.00020167775210403868,4.119194756319467e-06,"[100, 99, 98]","[1.4137421869484403, 1.2558775882717708, 1.2894622000005704]",99.0,COMPLETE
4,1.196820691770105,2026-08-19 11:12:33.214746,2026-08-19 11:12:36.710372,0 days 00:00:03.495626,silu,32,16,32,0.0004991958135057747,3.0944627114845256e-07,"[99, 98, 98]","[1.0959119882144135, 1.0212141053687704, 1.4733359817271314]",98.0,COMPLETE
5,0.8052820766717609,2026-08-19 11:12:36.807025,2026-08-19 11:12:40.527821,0 days 00:00:03.720796,relu,32,64,16,0.0008840062377102934,0.0021230942355305892,"[100, 98, 98]","[0.6419580897422216, 0.7513713655136272, 1.0225167747594341]",98.0,COMPLETE
6,0.7229035178145762,2026-08-19 11:12:40.625170,2026-08-19 11:12:44.205452,0 days 00:00:03.580282,gelu,32,32,32,0.0009962036308772731,1.0851114639983751e-07,"[95, 99, 98]","[0.6120000333501114, 0.6666888161406274, 0.8900217039529895]",98.0,COMPLETE
7,0.9762026788839434,2026-08-19 11:12:44.301896,2026-08-19 11:12:46.769078,0 days 00:00:02.467182,relu,32,64,32,0.00023669975379259276,1.0809126262172465e-07,"[99, 86]","[0.8891489452159711, 1.0632564125519157]",,PRUNED
8,0.9092362600889066,2026-08-19 11:12:46.864691,2026-08-19 11:12:51.078366,0 days 00:00:04.213675,gelu,16,32,16,0.0003285832812026676,1.90441385211537e-05,"[93, 99]","[0.8898645350439991, 0.9286079851338142]",,PRUNED
9,0.8620358702205722,2026-08-19 11:12:51.174488,2026-08-19 11:12:53.621518,0 days 00:00:02.447030,gelu,32,32,32,0.0007295528671072322,9.448234155529952e-07,"[100, 93]","[0.7895650463697735, 0.9345066940713709]",,PRUNED
10,0.8523692360421522,2026-08-19 11:12:53.716559,2026-08-19 11:12:57.826817,0 days 00:00:04.110258,relu,16,16,16,0.00032380641378982667,0.002132428665734923,"[94, 96]","[0.8589660902351626, 0.8457723818491419]",,PRUNED
11,0.7312644869593367,2026-08-19 11:12:57.924362,2026-08-19 11:13:01.540147,0 days 00:00:03.615785,gelu,32,32,32,0.0009883849768593407,1.715039028754025e-06,"[95, 99, 98]","[0.6151552064764457, 0.6722840394558316, 0.9063542149457324]",98.0,COMPLETE
