number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_hidden_dim,params_learning_rate,params_weight_decay,user_attrs_fold_epochs,user_attrs_fold_scores,user_attrs_recommended_epochs,state
0,0.19597431389908768,2026-08-18 19:28:59.302006,2026-08-18 19:29:01.439983,0 days 00:00:02.137977,relu,64,256,0.0006841597845986785,0.0008265891226843978,"[26, 31, 13]","[0.1433564038536139, 0.13849543130541728, 0.30607110653823183]",26.0,COMPLETE
1,0.15592466221980067,2026-08-18 19:29:01.539242,2026-08-18 19:29:02.634625,0 days 00:00:01.095383,relu,128,64,0.0029252289289933005,4.838820896628907e-06,"[66, 67, 77]","[0.150755006709169, 0.1393564830833296, 0.17766249686690344]",67.0,COMPLETE
2,0.14442409958852317,2026-08-18 19:29:02.730070,2026-08-18 19:29:05.098037,0 days 00:00:02.367967,relu,32,64,0.0005800205711012044,0.00011332919418280793,"[18, 15, 46]","[0.14466358627544643, 0.13183063945713855, 0.15677807303298455]",18.0,COMPLETE
3,4.03110108782903,2026-08-18 19:29:05.191667,2026-08-18 19:29:05.903263,0 days 00:00:00.711596,silu,128,32,0.00010178106297185293,6.359232829820194e-06,"[100, 100]","[3.9900733799508723, 4.072128795707187]",,PRUNED
4,0.14542894931430433,2026-08-18 19:29:05.997520,2026-08-18 19:29:08.209415,0 days 00:00:02.211895,gelu,32,32,0.0006910069646256938,3.5308579052359434e-07,"[26, 17, 25]","[0.13524101359721827, 0.12788830400343038, 0.1731575303422644]",25.0,COMPLETE
