number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_hidden_dim,params_hidden_dim_2,params_learning_rate,params_weight_decay,user_attrs_fold_epochs,user_attrs_fold_scores,user_attrs_recommended_epochs,state
0,0.5609648053854067,2026-08-19 11:11:24.083984,2026-08-19 11:11:30.399751,0 days 00:00:06.315767,gelu,16,32,32,0.0004968489899721994,0.0003218371567259421,"[99, 100, 100]","[0.5755032375463836, 0.6259553717075248, 0.48143580690231197]",100.0,COMPLETE
1,0.5606270475215714,2026-08-19 11:11:30.498030,2026-08-19 11:11:34.062119,0 days 00:00:03.564089,gelu,32,32,32,0.000988127749887291,3.2251999719722266e-06,"[99, 100, 100]","[0.5603676638224812, 0.5791799490194227, 0.5423335297228107]",100.0,COMPLETE
2,0.5702407300550351,2026-08-19 11:11:34.160378,2026-08-19 11:11:40.479655,0 days 00:00:06.319277,silu,16,32,32,0.0004595041739214871,5.431649269585544e-05,"[99, 100, 100]","[0.5062977383865886, 0.7634942169861945, 0.44093023479232213]",100.0,COMPLETE
3,1.3412224607944925,2026-08-19 11:11:40.576836,2026-08-19 11:11:44.013144,0 days 00:00:03.436308,gelu,32,16,16,0.00020167775210403868,4.119194756319467e-06,"[98, 98, 96]","[1.3253000951209057, 1.3379275286968362, 1.3604397585657355]",98.0,COMPLETE
4,1.08345432971421,2026-08-19 11:11:44.109780,2026-08-19 11:11:47.570549,0 days 00:00:03.460769,silu,32,16,32,0.0004991958135057747,3.0944627114845256e-07,"[100, 100, 100]","[1.1401366651310179, 1.021701786026129, 1.0885245379854833]",100.0,COMPLETE
5,0.7646839941260841,2026-08-19 11:11:47.668660,2026-08-19 11:11:50.108480,0 days 00:00:02.439820,relu,32,64,16,0.0008840062377102934,0.0021230942355305892,"[87, 75]","[0.7158062896705418, 0.8135616985816265]",,PRUNED
6,0.5546379221854959,2026-08-19 11:11:50.206044,2026-08-19 11:11:53.769671,0 days 00:00:03.563627,gelu,32,32,32,0.0009962036308772731,1.0851114639983751e-07,"[99, 100, 100]","[0.5539730446866016, 0.5736369738205774, 0.5363037480493087]",100.0,COMPLETE
7,1.1961269272939576,2026-08-19 11:11:53.869566,2026-08-19 11:11:56.392271,0 days 00:00:02.522705,relu,32,64,32,0.00023669975379259276,1.0809126262172465e-07,"[74, 100]","[1.1233068748098944, 1.268946979778021]",,PRUNED
8,1.07436185124081,2026-08-19 11:11:56.490206,2026-08-19 11:12:00.728695,0 days 00:00:04.238489,gelu,16,32,16,0.0003285832812026676,1.90441385211537e-05,"[100, 95]","[1.0255111738987157, 1.1232125285829042]",,PRUNED
9,0.8514678006206851,2026-08-19 11:12:00.826576,2026-08-19 11:12:03.254096,0 days 00:00:02.427520,gelu,32,32,32,0.0007295528671072322,9.448234155529952e-07,"[100, 95]","[0.8516498585475185, 0.8512857426938517]",,PRUNED
10,0.9920285692355663,2026-08-19 11:12:03.352305,2026-08-19 11:12:07.452210,0 days 00:00:04.099905,relu,16,16,16,0.00032380641378982667,0.002132428665734923,"[93, 100]","[1.0710519773906801, 0.9130051610804524]",,PRUNED
11,0.5607219375352864,2026-08-19 11:12:07.547820,2026-08-19 11:12:11.171519,0 days 00:00:03.623699,gelu,32,32,32,0.0009883849768593407,1.715039028754025e-06,"[99, 100, 100]","[0.5604419833344504, 0.5788630035083275, 0.5428608257630816]",100.0,COMPLETE
