number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_hidden_dim,params_hidden_dim_2,params_learning_rate,params_weight_decay,user_attrs_fold_epochs,user_attrs_fold_scores,user_attrs_recommended_epochs,state
0,0.5753426197435675,2026-08-19 11:14:09.042426,2026-08-19 11:14:15.354827,0 days 00:00:06.312401,gelu,16,32,32,0.0004968489899721994,0.0003218371567259421,"[100, 95, 100]","[0.6857584407053038, 0.5703671516481486, 0.46990226687724995]",100.0,COMPLETE
1,0.5988989869726971,2026-08-19 11:14:15.465092,2026-08-19 11:14:19.044609,0 days 00:00:03.579517,gelu,32,32,32,0.000988127749887291,3.2251999719722266e-06,"[99, 99, 100]","[0.6921429545076347, 0.5844700079044345, 0.5200839985060219]",99.0,COMPLETE
2,0.5507551425507508,2026-08-19 11:14:19.146254,2026-08-19 11:14:25.570713,0 days 00:00:06.424459,silu,16,32,32,0.0004595041739214871,5.431649269585544e-05,"[100, 99, 100]","[0.7223260958865659, 0.49988249547819, 0.4300568362874963]",100.0,COMPLETE
3,1.3783097843673697,2026-08-19 11:14:25.673765,2026-08-19 11:14:29.215348,0 days 00:00:03.541583,gelu,32,16,16,0.00020167775210403868,4.119194756319467e-06,"[89, 94, 98]","[1.5812462633165527, 1.269080728918497, 1.284602360867059]",94.0,COMPLETE
4,1.1495434718507602,2026-08-19 11:14:29.315072,2026-08-19 11:14:32.773465,0 days 00:00:03.458393,silu,32,16,32,0.0004991958135057747,3.0944627114845256e-07,"[100, 99, 94]","[1.323904901574647, 1.035309500044153, 1.0894160139334805]",99.0,COMPLETE
5,1.1825092894853584,2026-08-19 11:14:32.873287,2026-08-19 11:14:37.312709,0 days 00:00:04.439422,silu,16,64,16,0.00023870400669039909,0.0023153773020038416,"[99, 99]","[1.3224663551624973, 1.0425522238082194]",,PRUNED
6,0.7754124329545427,2026-08-19 11:14:37.415967,2026-08-19 11:14:41.673740,0 days 00:00:04.257773,relu,16,32,32,0.00038069122543067684,6.530384784366976e-05,"[100, 99]","[0.8010472782497221, 0.7497775876593631]",,PRUNED
7,0.2667927707868767,2026-08-19 11:14:41.778011,2026-08-19 11:14:48.367554,0 days 00:00:06.589543,silu,16,64,32,0.0009620695348905948,1.0809126262172465e-07,"[96, 98, 95]","[0.26722811290008724, 0.2923370969550276, 0.24081310250551521]",96.0,COMPLETE
8,0.41071884966879924,2026-08-19 11:14:48.468463,2026-08-19 11:14:54.997419,0 days 00:00:06.528956,relu,16,64,16,0.000939945716869706,2.0404976901749873e-07,"[95, 98, 99]","[0.4198019839920167, 0.42515036494869524, 0.3872042000656858]",98.0,COMPLETE
9,0.33497665461661913,2026-08-19 11:14:55.104007,2026-08-19 11:15:01.800096,0 days 00:00:06.696089,silu,16,64,32,0.0007290874114926931,2.2417558467418234e-06,"[100, 99, 96]","[0.3036845267832491, 0.3724209293673312, 0.32882450769927724]",99.0,COMPLETE
10,1.33493770660017,2026-08-19 11:15:01.902810,2026-08-19 11:15:04.490944,0 days 00:00:02.588134,silu,32,64,16,0.00030530640439055927,0.002132428665734923,"[100, 84]","[1.4695852182678544, 1.2002901949324853]",,PRUNED
11,0.3406387283926986,2026-08-19 11:15:04.596403,2026-08-19 11:15:11.683822,0 days 00:00:07.087419,silu,16,64,32,0.0007167439359562725,1.4122640031172702e-06,"[100, 96, 96]","[0.30423712182818113, 0.3831536058305892, 0.3345254575193255]",96.0,COMPLETE
