number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout,params_hidden_dim,params_hidden_dim_2,params_learning_rate,params_weight_decay,user_attrs_fold_epochs,user_attrs_fold_scores,user_attrs_recommended_epochs,state
0,0.1547727814818671,2026-08-19 12:31:10.895343,2026-08-19 12:31:13.487297,0 days 00:00:02.591954,gelu,32,0.0,32,32,0.00033563004850162834,2.147618843586951e-06,"[31, 39, 36]","[0.1378619560570384, 0.18751123730949304, 0.13894515107906985]",36.0,COMPLETE
1,0.18215458226714507,2026-08-19 12:31:13.595011,2026-08-19 12:31:18.110349,0 days 00:00:04.515338,gelu,16,0.1,16,32,0.00032095900025727413,2.5592108570833637e-05,"[58, 61, 77]","[0.16043863805604985, 0.23444989339037298, 0.15157521535501234]",61.0,COMPLETE
2,0.1899926856521381,2026-08-19 12:31:18.213219,2026-08-19 12:31:21.060535,0 days 00:00:02.847316,gelu,32,0.2,64,32,0.00020167775210403868,4.119194756319467e-06,"[75, 75, 95]","[0.19012546242490636, 0.20695408194605622, 0.1728985125854516]",75.0,COMPLETE
3,0.14328566146260704,2026-08-19 12:31:21.166459,2026-08-19 12:31:25.806870,0 days 00:00:04.640411,silu,16,0.1,16,32,0.0007377185554012516,2.6494084034430584e-07,"[98, 68, 63]","[0.13685739086579032, 0.15090819908561554, 0.1420913944364153]",68.0,COMPLETE
4,0.2275488590073869,2026-08-19 12:31:25.914411,2026-08-19 12:31:28.544758,0 days 00:00:02.630347,silu,32,0.2,16,32,0.0006747735720188567,8.902982711153794e-06,"[83, 42, 95]","[0.23625727539507055, 0.2526008415186975, 0.19378846010839268]",83.0,COMPLETE
5,0.18023385924848453,2026-08-19 12:31:28.648947,2026-08-19 12:31:33.164935,0 days 00:00:04.515988,silu,16,0.3,16,16,0.0009665348295207365,0.00278110807234906,"[96, 94, 97]","[0.18127761670688577, 0.17907201993410654, 0.1803519411044613]",96.0,COMPLETE
6,0.23085361535997603,2026-08-19 12:31:33.268091,2026-08-19 12:31:36.368454,0 days 00:00:03.100363,relu,16,0.1,32,16,0.000512054701557398,1.6078119966042412e-07,"[94, 54]","[0.21989546871503743, 0.24181176200491464]",,PRUNED
7,0.15206199565031195,2026-08-19 12:31:36.472156,2026-08-19 12:31:41.366586,0 days 00:00:04.894430,silu,16,0.1,64,32,0.0009372294791665693,0.0013264352468047847,"[89, 93, 57]","[0.13443065845067975, 0.1650183436581927, 0.1567369848420634]",89.0,COMPLETE
8,0.16054670700472443,2026-08-19 12:31:41.469292,2026-08-19 12:31:45.773594,0 days 00:00:04.304302,relu,16,0.0,16,16,0.0004966780085511805,1.3832837597939675e-07,"[24, 35, 67]","[0.14425558129471547, 0.19595169475717789, 0.14143284496227995]",35.0,COMPLETE
9,0.36368091357769555,2026-08-19 12:31:45.876554,2026-08-19 12:31:48.886941,0 days 00:00:03.010387,silu,16,0.3,16,32,0.00020504269112636952,0.0005036601722416504,"[96, 87]","[0.38984955156624745, 0.33751227558914365]",,PRUNED
10,0.1994858223074936,2026-08-19 12:31:48.988973,2026-08-19 12:31:50.796555,0 days 00:00:01.807582,silu,32,0.1,32,16,0.0003102343547695867,0.00012098552975660255,"[46, 47]","[0.17717612072909514, 0.22179552388589205]",,PRUNED
11,0.15235766422554078,2026-08-19 12:31:50.902864,2026-08-19 12:31:55.829130,0 days 00:00:04.926266,silu,16,0.1,64,32,0.0009882509980131547,1.0493319214284186e-06,"[89, 76, 73]","[0.14408103734916516, 0.15899111494673612, 0.15400084038072112]",76.0,COMPLETE
