number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_hidden_dim,params_learning_rate,params_weight_decay,user_attrs_fold_epochs,user_attrs_fold_scores,user_attrs_recommended_epochs,state
0,0.22634683690215004,2026-08-18 19:28:40.145543,2026-08-18 19:28:42.987367,0 days 00:00:02.841824,relu,64,256,0.0006841597845986785,0.0008265891226843978,"[99, 100, 68]","[0.33927431989490253, 0.19865432237170272, 0.14111186843984494]",99.0,COMPLETE
1,0.17878333176120967,2026-08-18 19:28:43.082119,2026-08-18 19:28:44.201314,0 days 00:00:01.119195,relu,128,64,0.0029252289289933005,4.838820896628907e-06,"[60, 20, 34]","[0.1833164303198094, 0.20624903447028523, 0.1467845304935344]",34.0,COMPLETE
2,0.14935616738970556,2026-08-18 19:28:44.296111,2026-08-18 19:28:46.697491,0 days 00:00:02.401380,relu,32,64,0.0005800205711012044,0.00011332919418280793,"[41, 68, 31]","[0.1431088056335919, 0.1589794929691583, 0.14598020356636648]",41.0,COMPLETE
3,4.749459770128636,2026-08-18 19:28:46.792217,2026-08-18 19:28:47.520635,0 days 00:00:00.728418,silu,128,32,0.00010178106297185293,6.359232829820194e-06,"[100, 100]","[4.1393009815439, 5.359618558713372]",,PRUNED
4,0.14596730816393863,2026-08-18 19:28:47.613256,2026-08-18 19:28:49.823870,0 days 00:00:02.210614,gelu,32,32,0.0006910069646256938,3.5308579052359434e-07,"[24, 23, 25]","[0.15887850552510704, 0.14040582286739123, 0.13861759609931762]",24.0,COMPLETE
