number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout,params_hidden_dim,params_hidden_dim_2,params_learning_rate,params_weight_decay,user_attrs_fold_epochs,user_attrs_fold_scores,user_attrs_recommended_epochs,state
0,0.14228725660041108,2026-08-19 12:30:31.458138,2026-08-19 12:30:34.062813,0 days 00:00:02.604675,gelu,32,0.0,32,32,0.00033563004850162834,2.147618843586951e-06,"[31, 45, 32]","[0.128563859991274, 0.1660431035442718, 0.1322548062656874]",32.0,COMPLETE
1,0.17015371464977333,2026-08-19 12:30:34.169765,2026-08-19 12:30:38.670371,0 days 00:00:04.500606,gelu,16,0.1,16,32,0.00032095900025727413,2.5592108570833637e-05,"[98, 61, 95]","[0.13554644140975994, 0.18755197683091926, 0.18736272570864076]",95.0,COMPLETE
2,0.20028634739263804,2026-08-19 12:30:38.772683,2026-08-19 12:30:41.626972,0 days 00:00:02.854289,gelu,32,0.2,64,32,0.00020167775210403868,4.119194756319467e-06,"[70, 82, 71]","[0.17214018165021544, 0.22822396878410045, 0.20049489174359822]",71.0,COMPLETE
3,0.14444972737413955,2026-08-19 12:30:41.735042,2026-08-19 12:30:46.436488,0 days 00:00:04.701446,silu,16,0.1,16,32,0.0007377185554012516,2.6494084034430584e-07,"[93, 73, 67]","[0.13289054121165098, 0.15208837140099898, 0.14837026950976875]",73.0,COMPLETE
4,0.18819912759850144,2026-08-19 12:30:46.569117,2026-08-19 12:30:49.186158,0 days 00:00:02.617041,silu,32,0.2,16,32,0.0006747735720188567,8.902982711153794e-06,"[83, 32, 72]","[0.16537397767309206, 0.23539159744514088, 0.16383180767727135]",72.0,COMPLETE
5,0.15218169432356002,2026-08-19 12:30:49.288943,2026-08-19 12:30:51.842731,0 days 00:00:02.553788,relu,32,0.0,32,16,0.0003681329843795166,0.002776341708346362,"[38, 60, 59]","[0.12949097208604227, 0.16351551325156904, 0.16353859763306872]",59.0,COMPLETE
6,0.14027683413708059,2026-08-19 12:30:51.945586,2026-08-19 12:30:54.543966,0 days 00:00:02.598380,gelu,32,0.0,32,16,0.0004387863332947893,0.002500635839803016,"[31, 63, 27]","[0.12635265049482447, 0.16009374005312402, 0.13438411186329324]",31.0,COMPLETE
7,0.593067399257669,2026-08-19 12:30:54.646966,2026-08-19 12:30:56.426578,0 days 00:00:01.779612,relu,32,0.3,32,16,0.0005121687325238871,0.002980019920980618,"[33, 58]","[0.525484919374479, 0.660649879140859]",,PRUNED
8,0.14603332752673526,2026-08-19 12:30:56.528543,2026-08-19 12:31:01.230794,0 days 00:00:04.702251,gelu,16,0.0,64,16,0.000908544965846612,0.00011478564140643325,"[17, 27, 8]","[0.12685549433642743, 0.17647056637984324, 0.13477392186393514]",17.0,COMPLETE
9,0.8120324556767488,2026-08-19 12:31:01.333727,2026-08-19 12:31:03.123089,0 days 00:00:01.789362,gelu,32,0.3,32,16,0.00020468860249269993,1.0848500284568306e-07,"[45, 88]","[0.7445995751369061, 0.8794653362165914]",,PRUNED
10,0.15209093743823007,2026-08-19 12:31:03.226887,2026-08-19 12:31:07.679227,0 days 00:00:04.452340,relu,16,0.0,32,16,0.0005054905975600764,0.000296503865015781,"[17, 28, 28]","[0.13086563851585517, 0.15923349050368152, 0.1661736832951535]",28.0,COMPLETE
11,0.142986380450795,2026-08-19 12:31:07.783681,2026-08-19 12:31:10.392926,0 days 00:00:02.609245,gelu,32,0.0,32,32,0.00032560378623997335,1.2100172119825427e-06,"[38, 59, 40]","[0.12751287923359234, 0.1673275232922132, 0.13411873882657946]",40.0,COMPLETE
