number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_hidden_dim,params_learning_rate,params_weight_decay,user_attrs_fold_epochs,user_attrs_fold_scores,user_attrs_recommended_epochs,state
0,0.1655320635969181,2026-08-18 19:29:26.835425,2026-08-18 19:29:29.463475,0 days 00:00:02.628050,relu,64,256,0.0006841597845986785,0.0008265891226843978,"[44, 41, 33]","[0.1250722263272547, 0.2362396052702085, 0.13528435919329113]",41.0,COMPLETE
1,0.15817274825753452,2026-08-18 19:29:29.565071,2026-08-18 19:29:30.852514,0 days 00:00:01.287443,relu,128,64,0.0029252289289933005,4.838820896628907e-06,"[58, 26, 12]","[0.1276451337831433, 0.2065328663447549, 0.14034024464470535]",26.0,COMPLETE
2,0.14760073101824048,2026-08-18 19:29:30.948779,2026-08-18 19:29:33.882768,0 days 00:00:02.933989,relu,32,64,0.0005800205711012044,0.00011332919418280793,"[41, 57, 18]","[0.12398542754811234, 0.18423346967497525, 0.1345832958316339]",41.0,COMPLETE
3,2.3029554187360346,2026-08-18 19:29:33.979996,2026-08-18 19:29:34.824628,0 days 00:00:00.844632,silu,128,32,0.00010178106297185293,6.359232829820194e-06,"[100, 100]","[2.3234011940939676, 2.2825096433781016]",,PRUNED
4,0.14426910063761725,2026-08-18 19:29:34.917070,2026-08-18 19:29:37.673910,0 days 00:00:02.756840,gelu,32,32,0.0006910069646256938,3.5308579052359434e-07,"[33, 11, 23]","[0.12052272204593732, 0.18568440008293652, 0.1266001797839779]",23.0,COMPLETE
