mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__regressor__max_depth,param_model__regressor__max_features,param_model__regressor__min_samples_leaf,param_model__regressor__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
2.6641303062438966,0.017948498961689735,0.016290664672851562,0.0008975789563127979,10,0.5,1,200,"{'model__regressor__max_depth': 10, 'model__regressor__max_features': 0.5, 'model__regressor__min_samples_leaf': 1, 'model__regressor__n_estimators': 200}",-0.14211247160271964,-0.14865305551090363,-0.14160397059006094,-0.1290773725799926,-0.12222020746820725,-0.13673341555037682,0.00963309472597615,4,-0.058373345888321077,-0.06067805020007559,-0.06078831592843347,-0.06082633204543563,-0.061441129989773885,-0.06042143481040794,0.001058191048488702
6.859954214096069,0.0034759419930000335,0.0334010124206543,0.0024550936625720955,10,0.5,1,500,"{'model__regressor__max_depth': 10, 'model__regressor__max_features': 0.5, 'model__regressor__min_samples_leaf': 1, 'model__regressor__n_estimators': 500}",-0.1405048761102485,-0.14847463673555214,-0.14206816071012004,-0.1289304483915463,-0.12142267737723875,-0.13628015986494116,0.009744921671307137,3,-0.058400623731816544,-0.06055208199577165,-0.06065097804971759,-0.060359587956246595,-0.0604657762103295,-0.060085809588776386,0.0008480573031646425
1.749303150177002,0.006707220672734761,0.015662574768066408,0.0018889081416574402,10,0.5,5,200,"{'model__regressor__max_depth': 10, 'model__regressor__max_features': 0.5, 'model__regressor__min_samples_leaf': 5, 'model__regressor__n_estimators': 200}",-0.14558332464786472,-0.1525323069497907,-0.14830086993174557,-0.12965270813630458,-0.12607373079714307,-0.14042858809256975,0.010556757620486128,12,-0.09383721887603287,-0.09499767218627808,-0.09505631630438707,-0.09710189171091246,-0.09708413745247105,-0.0956154473060163,0.0012824147254217085
4.415776157379151,0.011365332730803129,0.02970409393310547,0.0024665262673739673,10,0.5,5,500,"{'model__regressor__max_depth': 10, 'model__regressor__max_features': 0.5, 'model__regressor__min_samples_leaf': 5, 'model__regressor__n_estimators': 500}",-0.1446975856596356,-0.15149762963823477,-0.1486521914486993,-0.13091414191541997,-0.12627630401017026,-0.140407570534432,0.009991849631017123,11,-0.09350476098825379,-0.09464303521864553,-0.09500915298775992,-0.09668295176727788,-0.0963183417415878,-0.09523164854070498,0.0011545816299511206
1.3961153984069825,0.008183778379316966,0.01999554634094238,0.0029251409829899105,10,0.5,10,200,"{'model__regressor__max_depth': 10, 'model__regressor__max_features': 0.5, 'model__regressor__min_samples_leaf': 10, 'model__regressor__n_estimators': 200}",-0.15081179906240977,-0.15860424375426702,-0.15197515035972126,-0.13574934593799226,-0.13239442640826107,-0.14590699310453026,0.010078363782890738,17,-0.11614032016967792,-0.11727941797229718,-0.11640244752473111,-0.12036900832992135,-0.11967354822502536,-0.1179729484443306,0.0017285327093575326
4.000386047363281,0.015924870283056853,0.0326329231262207,0.0007455415774205587,10,0.5,10,500,"{'model__regressor__max_depth': 10, 'model__regressor__max_features': 0.5, 'model__regressor__min_samples_leaf': 10, 'model__regressor__n_estimators': 500}",-0.1503121984081303,-0.15860718160934315,-0.1529579700337153,-0.13569651490181314,-0.13244323196130559,-0.1460034193828615,0.010157727468235705,20,-0.11627060710575725,-0.11705390785003936,-0.11607312835436003,-0.11978476956265065,-0.11908440792381726,-0.1176533641593249,0.0015072680839482396
5.535342025756836,0.02441334424759777,0.018011760711669923,0.0017019013804538278,10,1.0,1,200,"{'model__regressor__max_depth': 10, 'model__regressor__max_features': 1.0, 'model__regressor__min_samples_leaf': 1, 'model__regressor__n_estimators': 200}",-0.14223653793804106,-0.15333387394359252,-0.1428958165625104,-0.13320066673875422,-0.12523868702658786,-0.1393811164418972,0.009522523395189754,8,-0.05830140697034135,-0.060228603467196135,-0.05988332031342333,-0.059736831127621404,-0.060771592634682146,-0.05978435090265287,0.000822579158285728
14.146842193603515,0.02539285122113793,0.03694815635681152,0.0015916152454798105,10,1.0,1,500,"{'model__regressor__max_depth': 10, 'model__regressor__max_features': 1.0, 'model__regressor__min_samples_leaf': 1, 'model__regressor__n_estimators': 500}",-0.14258247212047603,-0.15228103656866465,-0.14287122372766797,-0.13385031590386595,-0.12517404640858398,-0.13935181894585172,0.009178929873689195,7,-0.05827535420186828,-0.05980819080792359,-0.06001145459977305,-0.05942488388311551,-0.0598305844433979,-0.05947009358721567,0.0006271811939469572
3.693658447265625,0.026405055079184787,0.02323775291442871,0.006149345139556004,10,1.0,5,200,"{'model__regressor__max_depth': 10, 'model__regressor__max_features': 1.0, 'model__regressor__min_samples_leaf': 5, 'model__regressor__n_estimators': 200}",-0.14565771914676487,-0.15453729511099762,-0.15089974795193264,-0.13753258129345503,-0.1286979250368397,-0.14346505370799795,0.009337444061983084,16,-0.09109252530391025,-0.09180789026306674,-0.09226546327914703,-0.09314174301700814,-0.09482495914648767,-0.09262651620192397,0.001284698078731986
9.90855073928833,0.01967805228077945,0.04152665138244629,0.0033653047093057838,10,1.0,5,500,"{'model__regressor__max_depth': 10, 'model__regressor__max_features': 1.0, 'model__regressor__min_samples_leaf': 5, 'model__regressor__n_estimators': 500}",-0.14588118704632566,-0.1541860065232834,-0.15070029608261945,-0.13774934240040115,-0.12827018013111663,-0.14335740243674927,0.00934474030226483,15,-0.09107340023726411,-0.09178692994791529,-0.09254718041668136,-0.09271389159484934,-0.09403202214330807,-0.09243068486800363,0.0009914333359587507
