number,value,datetime_start,datetime_complete,duration,params_activation,params_adam_learning_rate,params_adamw_learning_rate,params_batch_size,params_dropout,params_hidden_dim,params_hidden_dim_2,params_optimizer,params_rmsprop_learning_rate,params_weight_decay,user_attrs_fold_epochs,user_attrs_fold_scores,user_attrs_recommended_epochs,state
0,0.14153341331677244,2026-08-19 13:26:43.852138,2026-08-19 13:26:49.120459,0 days 00:00:05.268321,gelu,0.0006340681480877335,,16,0.0,32,32,adam,,2.7549376452056877e-06,"[14, 20, 26]","[0.1493771316727465, 0.13160039178473135, 0.14362271649283948]",20.0,COMPLETE
1,0.14012561406218338,2026-08-19 13:26:49.222815,2026-08-19 13:26:51.824364,0 days 00:00:02.601549,silu,,0.0006948466812207145,32,0.0,32,16,adamw,,5.673875241795969e-06,"[21, 16, 25]","[0.1467965771231735, 0.13610014197323467, 0.13748012309014193]",21.0,COMPLETE
2,0.14456625546197233,2026-08-19 13:26:51.923513,2026-08-19 13:26:56.126292,0 days 00:00:04.202779,gelu,,,16,0.0,32,32,rmsprop,0.00014367244478254873,3.1315453646186135e-07,"[81, 68, 74]","[0.1602222760700531, 0.13327508536102484, 0.14020140495483902]",74.0,COMPLETE
3,0.14153300932089694,2026-08-19 13:26:56.224985,2026-08-19 13:27:01.232570,0 days 00:00:05.007585,silu,,0.0004991958135057747,16,0.0,16,16,adamw,,3.0944627114845256e-07,"[19, 32, 35]","[0.14613901999501003, 0.13546719438038685, 0.14299281358729393]",32.0,COMPLETE
4,0.13757553922337507,2026-08-19 13:27:01.408093,2026-08-19 13:27:06.103572,0 days 00:00:04.695479,gelu,0.00023941264388777726,,16,0.0,16,32,adam,,5.8502460382892985e-05,"[48, 37, 51]","[0.14479716411826357, 0.12490799305003054, 0.1430214605018311]",48.0,COMPLETE
5,0.15686727771263284,2026-08-19 13:27:06.202174,2026-08-19 13:27:07.890716,0 days 00:00:01.688542,relu,0.0002092898984195704,,32,0.0,16,32,adam,,0.0028340946229767354,"[91, 99]","[0.1570995392426282, 0.15663501618263748]",,PRUNED
6,0.1599137017820352,2026-08-19 13:27:07.997106,2026-08-19 13:27:11.360506,0 days 00:00:03.363400,gelu,0.0002025455311407421,,16,0.0,64,32,adam,,0.0006043084670239861,"[78, 31]","[0.18312434561170934, 0.13670305795236107]",,PRUNED
7,0.23583122249353528,2026-08-19 13:27:11.462457,2026-08-19 13:27:14.145230,0 days 00:00:02.682773,relu,,,16,0.0,16,32,rmsprop,0.008013800294164911,0.00010893615683602513,"[96, 97]","[0.2580363363792546, 0.21362610860781592]",,PRUNED
8,0.1502149174805087,2026-08-19 13:27:14.242830,2026-08-19 13:27:16.089483,0 days 00:00:01.846653,gelu,0.0009055155043966802,,32,0.0,64,16,adam,,2.660472170228291e-05,"[18, 74]","[0.1494062045412258, 0.15102363041979158]",,PRUNED
9,0.1365923616864326,2026-08-19 13:27:16.187151,2026-08-19 13:27:20.535815,0 days 00:00:04.348664,gelu,0.0003827723958626062,,16,0.0,16,32,adam,,7.324374822098845e-05,"[33, 25, 31]","[0.1431988825937974, 0.12623116331517514, 0.1403470391503252]",31.0,COMPLETE
10,0.15081175049170803,2026-08-19 13:27:20.638581,2026-08-19 13:27:22.572792,0 days 00:00:01.934211,relu,,0.000204604596399701,32,0.0,16,16,adamw,,2.519716057487531e-06,"[88, 96]","[0.14582877123599694, 0.15579472974741912]",,PRUNED
11,0.13770083236404893,2026-08-19 13:27:22.689664,2026-08-19 13:27:27.163772,0 days 00:00:04.474108,gelu,0.00037783349736923526,,16,0.0,16,32,adam,,7.301180772112154e-05,"[33, 27, 25]","[0.14456434958041203, 0.12841152213498253, 0.14012662537675222]",27.0,COMPLETE
12,0.13669220346516228,2026-08-19 13:27:27.273601,2026-08-19 13:27:31.820123,0 days 00:00:04.546522,gelu,0.0003435932065007111,,16,0.0,16,32,adam,,0.00031602615333204857,"[51, 25, 35]","[0.1442527102069502, 0.12499845925257391, 0.1408254409359627]",35.0,COMPLETE
13,0.13730927562677073,2026-08-19 13:27:31.927964,2026-08-19 13:27:36.568213,0 days 00:00:04.640249,gelu,0.0003873826024874192,,16,0.0,16,32,adam,,0.0003018738347408101,"[33, 21, 31]","[0.1435220594470429, 0.1281860505065971, 0.14021971692667212]",31.0,COMPLETE
14,0.1391264939627036,2026-08-19 13:27:36.705241,2026-08-19 13:27:39.623547,0 days 00:00:02.918306,gelu,0.00036085349426284653,,16,0.0,16,32,adam,,0.0016986435191933596,"[48, 31]","[0.14599948522869674, 0.13225350269671046]",,PRUNED
