mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__regressor__metric,param_model__regressor__n_neighbors,param_model__regressor__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.017458343505859376,0.0035470945608062493,0.04176139831542969,0.02085618739770379,euclidean,3,uniform,"{'model__regressor__metric': 'euclidean', 'model__regressor__n_neighbors': 3, 'model__regressor__weights': 'uniform'}",-0.16836279284044325,-0.1733464907775946,-0.18128161022352635,-0.17615294195059997,-0.16956477429439729,-0.17374172201731228,0.004673325899859249,27,-0.1192279715675429,-0.12589161583553207,-0.12175211485320842,-0.12292424867132642,-0.12158745533403244,-0.12227668125232846,0.002169420596317421
0.02089104652404785,0.0016186746620743986,0.032818174362182616,0.0036542423617514606,euclidean,3,distance,"{'model__regressor__metric': 'euclidean', 'model__regressor__n_neighbors': 3, 'model__regressor__weights': 'distance'}",-0.16821542966662742,-0.172333568443046,-0.18080828816065245,-0.17611973569781691,-0.16865308441227816,-0.1732260212760842,0.004747180345419309,26,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0.021758651733398436,0.0028650916279988076,0.03578763008117676,0.002712487180695742,euclidean,5,uniform,"{'model__regressor__metric': 'euclidean', 'model__regressor__n_neighbors': 5, 'model__regressor__weights': 'uniform'}",-0.16772557829901877,-0.17557538230422456,-0.1855073110753286,-0.16555533178970128,-0.163684859911116,-0.17160969267587783,0.00804257540825276,23,-0.1389812678570483,-0.14049474079953686,-0.13682143669663527,-0.14351301434589428,-0.14074638366323924,-0.1401113686724708,0.002201008485784466
0.021570968627929687,0.002152588436488756,0.038393068313598636,0.0042587756002764685,euclidean,5,distance,"{'model__regressor__metric': 'euclidean', 'model__regressor__n_neighbors': 5, 'model__regressor__weights': 'distance'}",-0.16703024849017203,-0.17389364869822585,-0.1843704686838875,-0.16494243849132617,-0.1627036720533161,-0.17058809528338553,0.00784316701362136,21,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0.021275043487548828,0.0019980207363879117,0.034394693374633786,0.0022991973344827226,euclidean,7,uniform,"{'model__regressor__metric': 'euclidean', 'model__regressor__n_neighbors': 7, 'model__regressor__weights': 'uniform'}",-0.1652954133047463,-0.1753020274336393,-0.1819642826170832,-0.16206829487789548,-0.16624182128733178,-0.1701743679041392,0.007352176847329815,18,-0.14777439151161548,-0.14937573002661642,-0.142326507139823,-0.15058617851053926,-0.14752768260675822,-0.14751809795907048,0.002824263042059577
0.02499384880065918,0.00498016580300974,0.03242802619934082,0.001549929311365013,euclidean,7,distance,"{'model__regressor__metric': 'euclidean', 'model__regressor__n_neighbors': 7, 'model__regressor__weights': 'distance'}",-0.16461846831151963,-0.17335556980573552,-0.18083461362136147,-0.161078477003606,-0.1649553571442326,-0.16896849717729104,0.007174002900900209,14,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0.02350907325744629,0.0038835302087579433,0.03658857345581055,0.0027140607619058474,euclidean,11,uniform,"{'model__regressor__metric': 'euclidean', 'model__regressor__n_neighbors': 11, 'model__regressor__weights': 'uniform'}",-0.16098485311452643,-0.180981183755445,-0.18366304190239297,-0.1610540153952615,-0.16449354955335493,-0.17023532874419617,0.009986117594384817,19,-0.15628222576548378,-0.15501618844898798,-0.1514913085430089,-0.1599582996978101,-0.15610190836246757,-0.15576998616355167,0.002712556918930481
0.02734265327453613,0.003516188880945736,0.04004979133605957,0.0012617157790400055,euclidean,11,distance,"{'model__regressor__metric': 'euclidean', 'model__regressor__n_neighbors': 11, 'model__regressor__weights': 'distance'}",-0.16015891574047517,-0.17850100905194688,-0.18219612767622362,-0.16014267077052816,-0.1632902181793128,-0.1688577882836973,0.009523911992392903,13,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0.027872705459594728,0.0019066798265424823,0.0427490234375,0.0038431384585434097,euclidean,15,uniform,"{'model__regressor__metric': 'euclidean', 'model__regressor__n_neighbors': 15, 'model__regressor__weights': 'uniform'}",-0.16208768206716748,-0.17870396584540318,-0.18142095407249278,-0.16509349157125475,-0.1643693290948236,-0.17033508453022836,0.008050079006145395,20,-0.16109824487725616,-0.1593762972187068,-0.157196364718071,-0.16309178759826795,-0.1593362523206624,-0.16001978934659283,0.001972474142153761
0.025763702392578126,0.0028313081904472945,0.03946352005004883,0.0029675311208415436,euclidean,15,distance,"{'model__regressor__metric': 'euclidean', 'model__regressor__n_neighbors': 15, 'model__regressor__weights': 'distance'}",-0.16079343339734217,-0.1765971512204661,-0.1801374834457173,-0.1637134833330912,-0.16296425612585128,-0.16884116150449363,0.007916555991334494,12,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0.023477649688720702,0.0038729035174915037,0.037673139572143556,0.0023237857612038383,euclidean,21,uniform,"{'model__regressor__metric': 'euclidean', 'model__regressor__n_neighbors': 21, 'model__regressor__weights': 'uniform'}",-0.16125846212462208,-0.17986954239852967,-0.18287070841892797,-0.16378213281438242,-0.16763808605818448,-0.1710837863629293,0.00869304356588956,22,-0.1651080545533251,-0.16269185571726757,-0.1608377501258016,-0.16748539736456278,-0.16434292011982285,-0.16409319557615598,0.0022432571205665713
0.022493648529052734,0.0036448569994984564,0.036817169189453124,0.0022313959924943286,euclidean,21,distance,"{'model__regressor__metric': 'euclidean', 'model__regressor__n_neighbors': 21, 'model__regressor__weights': 'distance'}",-0.1599050535341064,-0.17800822772861613,-0.1815473299292871,-0.1622737172133675,-0.16586001119384988,-0.16951886791984538,0.00866092369923366,17,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0.024192380905151366,0.003752146277679885,0.040386533737182616,0.002875856769247721,euclidean,31,uniform,"{'model__regressor__metric': 'euclidean', 'model__regressor__n_neighbors': 31, 'model__regressor__weights': 'uniform'}",-0.16640408470320733,-0.18397678155351638,-0.18357454886959723,-0.16599347544119053,-0.17116397837346875,-0.17422257378819606,0.008010066718073597,28,-0.1707730309079377,-0.1674273033034672,-0.16612236850676404,-0.17288898865369448,-0.170728350268272,-0.1695880083280271,0.0024609118204399452
0.02397322654724121,0.0012479447282774034,0.0396918773651123,0.005547474641160162,euclidean,31,distance,"{'model__regressor__metric': 'euclidean', 'model__regressor__n_neighbors': 31, 'model__regressor__weights': 'distance'}",-0.16473271711327253,-0.18184310830332667,-0.18205510839049477,-0.16438254591619056,-0.16902527179984067,-0.17240775030462502,0.00796051128258101,24,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0.0220156192779541,0.003049729445771956,0.07098274230957032,0.0037376684973802476,manhattan,3,uniform,"{'model__regressor__metric': 'manhattan', 'model__regressor__n_neighbors': 3, 'model__regressor__weights': 'uniform'}",-0.1604616307275859,-0.16607275504043434,-0.17714250647680865,-0.16792337930804185,-0.16443926716726104,-0.16720790774402636,0.005543903812777614,11,-0.11509078218690079,-0.11814560685704882,-0.11261606131252311,-0.11656304683845257,-0.11291594604470037,-0.11506628864792515,0.002114269280569436
0.02299346923828125,0.0018378750467517482,0.07188501358032226,0.0020697698655271195,manhattan,3,distance,"{'model__regressor__metric': 'manhattan', 'model__regressor__n_neighbors': 3, 'model__regressor__weights': 'distance'}",-0.15944481291211157,-0.16422445951900527,-0.1755567132419778,-0.16703494940541033,-0.16421199721036062,-0.16609458645777314,0.005323103061256867,9,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0.020815038681030275,0.002200761572386608,0.08301739692687989,0.015310577952766042,manhattan,5,uniform,"{'model__regressor__metric': 'manhattan', 'model__regressor__n_neighbors': 5, 'model__regressor__weights': 'uniform'}",-0.1550178721219495,-0.164288065859534,-0.170978802181817,-0.15729327246471994,-0.1659071862935899,-0.1626970397843221,0.005823990216728699,4,-0.1320578731095453,-0.13297298159855847,-0.129950278002667,-0.13640816936596853,-0.1304193835373117,-0.1323617371228102,0.002299018903157703
0.020598459243774413,0.003538848752241913,0.07152748107910156,0.0035753345451217714,manhattan,5,distance,"{'model__regressor__metric': 'manhattan', 'model__regressor__n_neighbors': 5, 'model__regressor__weights': 'distance'}",-0.1539973467699632,-0.1619564580962284,-0.1693112836543228,-0.1565624028476457,-0.16493664398696173,-0.16135282707102436,0.0055424976317365385,1,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0.021845483779907228,0.0010491554848829803,0.07073020935058594,0.0018591145287851297,manhattan,7,uniform,"{'model__regressor__metric': 'manhattan', 'model__regressor__n_neighbors': 7, 'model__regressor__weights': 'uniform'}",-0.15380490334147567,-0.1694366226739921,-0.17078401933904389,-0.15607237120169556,-0.16581949250262037,-0.1631834818117655,0.006961955500299456,6,-0.1437387723492669,-0.14221597888901483,-0.13744183357612802,-0.14546085602286518,-0.13892049685257715,-0.14155558753797043,0.00297725407631739
0.02328357696533203,0.0023637369054033595,0.06842265129089356,0.002177164476059004,manhattan,7,distance,"{'model__regressor__metric': 'manhattan', 'model__regressor__n_neighbors': 7, 'model__regressor__weights': 'distance'}",-0.1521141945593624,-0.1664506897497291,-0.16891200669563294,-0.15507545841846512,-0.16447767991502282,-0.16140600586764248,0.006597539749759686,2,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0.021965742111206055,0.0028460095633106052,0.07170438766479492,0.0024268598942506483,manhattan,11,uniform,"{'model__regressor__metric': 'manhattan', 'model__regressor__n_neighbors': 11, 'model__regressor__weights': 'uniform'}",-0.1536450085854126,-0.16942448920322378,-0.1750692945432728,-0.15555935178567418,-0.16684119383809476,-0.1641078675911356,0.008227259077181675,7,-0.15340942423221968,-0.15006794137626558,-0.1467860033883181,-0.15491172448131277,-0.14925492854175493,-0.1508860044039742,0.002922797074196855
0.022667551040649415,0.0015579441544351954,0.08355073928833008,0.022017025776333334,manhattan,11,distance,"{'model__regressor__metric': 'manhattan', 'model__regressor__n_neighbors': 11, 'model__regressor__weights': 'distance'}",-0.15186219936314577,-0.16616544428750382,-0.17288278406577817,-0.15395164740298822,-0.1650072843201512,-0.16197387188791346,0.007904141218425984,3,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0.020975399017333984,0.0030658838833847878,0.06939759254455566,0.002276733120886478,manhattan,15,uniform,"{'model__regressor__metric': 'manhattan', 'model__regressor__n_neighbors': 15, 'model__regressor__weights': 'uniform'}",-0.15722553265650296,-0.17358785035007615,-0.1734810132215611,-0.15491798330229312,-0.16852098409785785,-0.16554667272565823,0.007983373168529883,8,-0.15737424226782698,-0.15585517691980214,-0.1526648308528328,-0.15931901073824528,-0.1559875066878437,-0.15624015349331016,0.002179930670326325
0.022857236862182616,0.0012731790843968692,0.07459940910339355,0.004573564699155085,manhattan,15,distance,"{'model__regressor__metric': 'manhattan', 'model__regressor__n_neighbors': 15, 'model__regressor__weights': 'distance'}",-0.15488513950257313,-0.17007603290696285,-0.17127475817287566,-0.1530568778602059,-0.16606818662808281,-0.16307219901414008,0.007650440627782021,5,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0.021085596084594725,0.002329571354160589,0.07167568206787109,0.002860861684704754,manhattan,21,uniform,"{'model__regressor__metric': 'manhattan', 'model__regressor__n_neighbors': 21, 'model__regressor__weights': 'uniform'}",-0.1612855962531662,-0.17551595997939867,-0.1791102771882083,-0.15817000897982916,-0.17182947790921516,-0.1691822640619635,0.008115614754767426,15,-0.1640566808720942,-0.1616677256035592,-0.1605118767100421,-0.16503737441724073,-0.16189478828233864,-0.16263368917705495,0.0016603467349166608
0.021028423309326173,0.003119375217422823,0.07408475875854492,0.0028576131966311195,manhattan,21,distance,"{'model__regressor__metric': 'manhattan', 'model__regressor__n_neighbors': 21, 'model__regressor__weights': 'distance'}",-0.15872722483184065,-0.171888620586382,-0.17636932245019532,-0.15572627059422506,-0.16872133908959772,-0.16628655551044816,0.007843935124335207,10,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0.020792770385742187,0.00251674439971129,0.0730125904083252,0.0031542376791780322,manhattan,31,uniform,"{'model__regressor__metric': 'manhattan', 'model__regressor__n_neighbors': 31, 'model__regressor__weights': 'uniform'}",-0.16599860182707682,-0.17780205657075268,-0.1813161909376279,-0.16355847247311753,-0.17531414455113045,-0.1727978932719411,0.006863407707434819,25,-0.16993871187127677,-0.16774737953234928,-0.16549773253257571,-0.17156387720262847,-0.1685409052107841,-0.16865772126992287,0.0020452176469490514
0.023068904876708984,0.003553853235839921,0.07360706329345704,0.005156590283686445,manhattan,31,distance,"{'model__regressor__metric': 'manhattan', 'model__regressor__n_neighbors': 31, 'model__regressor__weights': 'distance'}",-0.16293930606367396,-0.17392810621679813,-0.1782496171072691,-0.1602224819824286,-0.17159050641050788,-0.16938600355613553,0.006776196732531832,16,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
