number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout,params_hidden_dim,params_hidden_dim_2,params_learning_rate,params_weight_decay,user_attrs_fold_epochs,user_attrs_fold_scores,user_attrs_recommended_epochs,state
0,0.14198584476417425,2026-08-19 12:29:13.356230,2026-08-19 12:29:16.306876,0 days 00:00:02.950646,gelu,32,0.0,32,32,0.00033563004850162834,2.147618843586951e-06,"[21, 31, 23]","[0.15317483629456913, 0.14181370986190056, 0.13096898813605307]",23.0,COMPLETE
1,0.16337486949527266,2026-08-19 12:29:16.413789,2026-08-19 12:29:21.062109,0 days 00:00:04.648320,gelu,16,0.1,16,32,0.00032095900025727413,2.5592108570833637e-05,"[96, 74, 67]","[0.18079067623361653, 0.15749900388564148, 0.15183492836655996]",74.0,COMPLETE
2,0.19162162115913473,2026-08-19 12:29:21.170812,2026-08-19 12:29:24.195616,0 days 00:00:03.024804,gelu,32,0.2,64,32,0.00020167775210403868,4.119194756319467e-06,"[73, 87, 71]","[0.19646672139733048, 0.1981873169975951, 0.18021082508247863]",73.0,COMPLETE
3,0.14454633216845758,2026-08-19 12:29:24.300388,2026-08-19 12:29:29.012539,0 days 00:00:04.712151,silu,16,0.1,16,32,0.0007377185554012516,2.6494084034430584e-07,"[54, 75, 91]","[0.1503102136166878, 0.1546621019797336, 0.12866668090895136]",75.0,COMPLETE
4,0.160332673165402,2026-08-19 12:29:29.124154,2026-08-19 12:29:31.736260,0 days 00:00:02.612106,silu,32,0.2,16,32,0.0006747735720188567,8.902982711153794e-06,"[87, 60, 47]","[0.15175719470485077, 0.17222105426433856, 0.15701977052701668]",60.0,COMPLETE
5,0.1453350922247014,2026-08-19 12:29:31.838052,2026-08-19 12:29:34.406818,0 days 00:00:02.568766,relu,32,0.0,32,16,0.0003681329843795166,0.002776341708346362,"[25, 35, 30]","[0.1624731636906662, 0.13790328536226878, 0.13562882762116915]",30.0,COMPLETE
6,0.14227373795192413,2026-08-19 12:29:34.507232,2026-08-19 12:29:37.111524,0 days 00:00:02.604292,gelu,32,0.0,32,16,0.0004387863332947893,0.002500635839803016,"[25, 31, 20]","[0.15621320658083296, 0.13939203566634073, 0.1312159716085987]",25.0,COMPLETE
7,0.33197776356416603,2026-08-19 12:29:37.210751,2026-08-19 12:29:39.001003,0 days 00:00:01.790252,relu,32,0.3,32,32,0.00020311541253461568,1.0820052740879068e-07,"[84, 64]","[0.3332153146537826, 0.33074021247454943]",,PRUNED
8,0.14408600337433985,2026-08-19 12:29:39.101752,2026-08-19 12:29:43.782950,0 days 00:00:04.681198,gelu,16,0.0,64,16,0.00090454563312797,7.846532302563544e-05,"[8, 21, 19]","[0.14741428976351262, 0.14184673014542357, 0.1429969902140834]",19.0,COMPLETE
9,0.212958616956335,2026-08-19 12:29:43.884067,2026-08-19 12:29:45.687537,0 days 00:00:01.803470,gelu,32,0.3,32,32,0.0005476594863940497,1.0019323107058683e-06,"[80, 100]","[0.22013338289042877, 0.20578385102224125]",,PRUNED
10,0.15159265493245386,2026-08-19 12:29:45.798079,2026-08-19 12:29:48.874306,0 days 00:00:03.076227,relu,16,0.0,32,16,0.00027184860196118634,0.000296503865015781,"[23, 40]","[0.1637964083732852, 0.1393889014916225]",,PRUNED
11,0.1410650900440542,2026-08-19 12:29:48.987302,2026-08-19 12:29:51.679173,0 days 00:00:02.691871,gelu,32,0.0,32,16,0.00045464653380766806,0.002778764895966418,"[20, 25, 23]","[0.15579097231785152, 0.13711904929800148, 0.13028524851630963]",23.0,COMPLETE
