fold,validation_score,recommended_epochs,best_params,fit_time_seconds
1,0.14479563656393452,31,"{""activation"": ""gelu"", ""adam_learning_rate"": 0.0003827723958626062, ""batch_size"": 16, ""dropout"": 0.0, ""hidden_dim"": 16, ""hidden_dim_2"": 32, ""optimizer"": ""adam"", ""weight_decay"": 7.324374822098845e-05}",0.6455448330380023
2,0.15546334569772358,99,"{""activation"": ""gelu"", ""batch_size"": 32, ""dropout"": 0.0, ""hidden_dim"": 32, ""hidden_dim_2"": 16, ""optimizer"": ""rmsprop"", ""rmsprop_learning_rate"": 0.00010380580271412455, ""weight_decay"": 2.071558808668743e-06}",0.9907283328939229
3,0.13077281334391305,23,"{""activation"": ""silu"", ""adamw_learning_rate"": 0.0008553629323383122, ""batch_size"": 32, ""dropout"": 0.0, ""hidden_dim"": 32, ""hidden_dim_2"": 16, ""optimizer"": ""adamw"", ""weight_decay"": 4.3862613903650345e-06}",0.26773308287374675
4,0.13849808651521542,92,"{""activation"": ""gelu"", ""batch_size"": 16, ""dropout"": 0.0, ""hidden_dim"": 32, ""hidden_dim_2"": 32, ""optimizer"": ""rmsprop"", ""rmsprop_learning_rate"": 0.00010827449015103997, ""weight_decay"": 3.6342367235491796e-07}",1.6762169171124697
5,0.13278634592293354,36,"{""activation"": ""gelu"", ""adam_learning_rate"": 0.00023941264388777726, ""batch_size"": 16, ""dropout"": 0.0, ""hidden_dim"": 16, ""hidden_dim_2"": 32, ""optimizer"": ""adam"", ""weight_decay"": 5.8502460382892985e-05}",0.6753592500463128
