mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__regressor__subsample,param_model__regressor__reg_lambda,param_model__regressor__reg_alpha,param_model__regressor__num_leaves,param_model__regressor__n_estimators,param_model__regressor__min_child_samples,param_model__regressor__max_depth,param_model__regressor__learning_rate,param_model__regressor__colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.3757365544637044,0.009356856550572851,0.04962603251139323,0.0005700097219562909,0.85,0.01,0.0,15,1000,40,-1,0.03,1.0,"{'model__regressor__subsample': 0.85, 'model__regressor__reg_lambda': 0.01, 'model__regressor__reg_alpha': 0.0, 'model__regressor__num_leaves': 15, 'model__regressor__n_estimators': 1000, 'model__regressor__min_child_samples': 40, 'model__regressor__max_depth': -1, 'model__regressor__learning_rate': 0.03, 'model__regressor__colsample_bytree': 1.0}",-0.1405681475635265,-0.1301565303876263,-0.12692512380960713,-0.13254993392025333,0.005821185998287958,25,-0.03764011546239665,-0.03844069718850484,-0.037908875737540815,-0.03799656279614744,0.00033266553797059944
0.3302010695139567,0.005836819921980326,0.05199249585469564,0.004541408394533747,0.85,0.0,0.0,63,1000,40,-1,0.03,0.7,"{'model__regressor__subsample': 0.85, 'model__regressor__reg_lambda': 0.0, 'model__regressor__reg_alpha': 0.0, 'model__regressor__num_leaves': 63, 'model__regressor__n_estimators': 1000, 'model__regressor__min_child_samples': 40, 'model__regressor__max_depth': -1, 'model__regressor__learning_rate': 0.03, 'model__regressor__colsample_bytree': 0.7}",-0.139163925039842,-0.12672555232431001,-0.12450985072857908,-0.1301331093642437,0.006449499061441661,15,-0.03879539265314283,-0.03970144600751131,-0.03951842606767055,-0.03933842157610823,0.00039118144381480413
0.2306817372639974,0.010121305379768289,0.02747797966003418,0.0015884104580185907,0.7,10.0,1.0,31,600,10,10,0.01,0.5,"{'model__regressor__subsample': 0.7, 'model__regressor__reg_lambda': 10.0, 'model__regressor__reg_alpha': 1.0, 'model__regressor__num_leaves': 31, 'model__regressor__n_estimators': 600, 'model__regressor__min_child_samples': 10, 'model__regressor__max_depth': 10, 'model__regressor__learning_rate': 0.01, 'model__regressor__colsample_bytree': 0.5}",-0.14399020285272174,-0.13648904252811078,-0.12978643485767857,-0.13675522674617036,0.005801717954922842,29,-0.10020766552973794,-0.103421342746649,-0.1047664619948106,-0.10279849009039917,0.001912522832288607
0.3010116418202718,0.011726645567312855,0.021555423736572266,0.0031234471991582625,0.85,10.0,0.01,63,600,10,6,0.03,1.0,"{'model__regressor__subsample': 0.85, 'model__regressor__reg_lambda': 10.0, 'model__regressor__reg_alpha': 0.01, 'model__regressor__num_leaves': 63, 'model__regressor__n_estimators': 600, 'model__regressor__min_child_samples': 10, 'model__regressor__max_depth': 6, 'model__regressor__learning_rate': 0.03, 'model__regressor__colsample_bytree': 1.0}",-0.13564818988463145,-0.12909014058853208,-0.12324655768690733,-0.12932829605335697,0.005065745013386573,12,-0.038614263747822446,-0.044131500739442074,-0.041065110650093425,-0.041270291712452646,0.002257070440000658
0.24837756156921387,0.0054830129562597535,0.019511302312215168,0.002213583447617227,1.0,0.01,0.01,63,600,10,6,0.05,0.5,"{'model__regressor__subsample': 1.0, 'model__regressor__reg_lambda': 0.01, 'model__regressor__reg_alpha': 0.01, 'model__regressor__num_leaves': 63, 'model__regressor__n_estimators': 600, 'model__regressor__min_child_samples': 10, 'model__regressor__max_depth': 6, 'model__regressor__learning_rate': 0.05, 'model__regressor__colsample_bytree': 0.5}",-0.13309783228499467,-0.1273278680598988,-0.12279547552447061,-0.12774039195645467,0.004216022665910071,6,-0.015479454288496118,-0.017847029369339476,-0.016273957892050817,-0.016533480516628802,0.000983824827008851
0.4966399669647217,0.00918141961795595,0.04724566141764323,0.0012716499390153372,0.7,10.0,0.01,15,1000,10,10,0.01,0.9,"{'model__regressor__subsample': 0.7, 'model__regressor__reg_lambda': 10.0, 'model__regressor__reg_alpha': 0.01, 'model__regressor__num_leaves': 15, 'model__regressor__n_estimators': 1000, 'model__regressor__min_child_samples': 10, 'model__regressor__max_depth': 10, 'model__regressor__learning_rate': 0.01, 'model__regressor__colsample_bytree': 0.9}",-0.13262306913365499,-0.12936570926402793,-0.11952058446186908,-0.12716978761985068,0.005569879115631432,5,-0.06578519775877985,-0.06898133710659524,-0.0685793403283724,-0.06778195839791583,0.0014214288913923744
0.3616141478220622,0.00962555250990374,0.031404336293538414,0.0010934979925630813,0.7,0.0,0.0,31,600,5,10,0.05,0.5,"{'model__regressor__subsample': 0.7, 'model__regressor__reg_lambda': 0.0, 'model__regressor__reg_alpha': 0.0, 'model__regressor__num_leaves': 31, 'model__regressor__n_estimators': 600, 'model__regressor__min_child_samples': 5, 'model__regressor__max_depth': 10, 'model__regressor__learning_rate': 0.05, 'model__regressor__colsample_bytree': 0.5}",-0.12934758432547813,-0.1269988425537267,-0.12213348763122957,-0.12615997150347813,0.003004283193231609,1,-0.0036068508349801913,-0.005219959148710408,-0.003595974842341916,-0.004140928275344172,0.0007630029668190875
0.8532915910085043,0.025603027832287854,0.0735783576965332,0.008590770645733558,0.85,0.0,0.0,31,1500,10,10,0.05,0.9,"{'model__regressor__subsample': 0.85, 'model__regressor__reg_lambda': 0.0, 'model__regressor__reg_alpha': 0.0, 'model__regressor__num_leaves': 31, 'model__regressor__n_estimators': 1500, 'model__regressor__min_child_samples': 10, 'model__regressor__max_depth': 10, 'model__regressor__learning_rate': 0.05, 'model__regressor__colsample_bytree': 0.9}",-0.13553328461972464,-0.1276454645647172,-0.12609238275341805,-0.12975704397928664,0.004133338661044911,14,-0.0005810149196955572,-0.0008795558974789372,-0.0008264157743838881,-0.0007623288638527941,0.00013003083718879786
0.7696162859598795,0.03312531115419086,0.0693799654642741,0.001766436986471172,0.7,1.0,0.0,31,1500,10,10,0.03,0.7,"{'model__regressor__subsample': 0.7, 'model__regressor__reg_lambda': 1.0, 'model__regressor__reg_alpha': 0.0, 'model__regressor__num_leaves': 31, 'model__regressor__n_estimators': 1500, 'model__regressor__min_child_samples': 10, 'model__regressor__max_depth': 10, 'model__regressor__learning_rate': 0.03, 'model__regressor__colsample_bytree': 0.7}",-0.1309727635336154,-0.12779626232981064,-0.12254397265141094,-0.127104332838279,0.0034756489801591175,4,-0.0050840504530232766,-0.007118095466601951,-0.004253411883516509,-0.005485185934380579,0.0012034077346166116
0.39898451169331867,0.002812369054963131,0.047316789627075195,0.0005804260359471431,1.0,0.01,0.0,15,1000,20,-1,0.01,0.9,"{'model__regressor__subsample': 1.0, 'model__regressor__reg_lambda': 0.01, 'model__regressor__reg_alpha': 0.0, 'model__regressor__num_leaves': 15, 'model__regressor__n_estimators': 1000, 'model__regressor__min_child_samples': 20, 'model__regressor__max_depth': -1, 'model__regressor__learning_rate': 0.01, 'model__regressor__colsample_bytree': 0.9}",-0.13467566311515475,-0.12778765038715761,-0.12476421484614962,-0.12907584278282067,0.004147592187721631,11,-0.05647650871090856,-0.059689549560646496,-0.05968271712371283,-0.0586162584650893,0.0015130341323393848
