number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_hidden_dim,params_learning_rate,params_weight_decay,user_attrs_fold_epochs,user_attrs_fold_scores,user_attrs_recommended_epochs,state
0,0.1618680625778908,2026-08-18 19:29:08.537930,2026-08-18 19:29:10.635450,0 days 00:00:02.097520,relu,64,256,0.0006841597845986785,0.0008265891226843978,"[19, 21, 36]","[0.13065107360778, 0.1723415661909147, 0.18261154793497764]",21.0,COMPLETE
1,0.16644999478495137,2026-08-18 19:29:10.733576,2026-08-18 19:29:11.804309,0 days 00:00:01.070733,relu,128,64,0.0029252289289933005,4.838820896628907e-06,"[38, 15, 25]","[0.13365147602301602, 0.17669656215113846, 0.18900194618069963]",25.0,COMPLETE
2,0.14683765839900442,2026-08-18 19:29:11.901796,2026-08-18 19:29:14.174897,0 days 00:00:02.273101,relu,32,64,0.0005800205711012044,0.00011332919418280793,"[17, 21, 40]","[0.12797761475930755, 0.1669585885876729, 0.1455767718500328]",21.0,COMPLETE
3,2.4647722669941863,2026-08-18 19:29:14.270086,2026-08-18 19:29:14.967315,0 days 00:00:00.697229,silu,128,32,0.00010178106297185293,6.359232829820194e-06,"[100, 100]","[2.6284233454040016, 2.301121188584371]",,PRUNED
4,0.1436594606108151,2026-08-18 19:29:15.063258,2026-08-18 19:29:17.252374,0 days 00:00:02.189116,gelu,32,32,0.0006910069646256938,3.5308579052359434e-07,"[17, 21, 20]","[0.12270233760921724, 0.16588878311378763, 0.14238726110944044]",20.0,COMPLETE
