number,value,datetime_start,datetime_complete,duration,params_activation,params_adam_learning_rate,params_adamw_learning_rate,params_batch_size,params_dropout,params_hidden_dim,params_hidden_dim_2,params_optimizer,params_rmsprop_learning_rate,params_weight_decay,user_attrs_fold_epochs,user_attrs_fold_scores,user_attrs_recommended_epochs,state
0,0.142629360769618,2026-08-19 13:28:25.860745,2026-08-19 13:28:30.330990,0 days 00:00:04.470245,gelu,0.0006340681480877335,,16,0.0,32,32,adam,,2.7549376452056877e-06,"[14, 37, 63]","[0.13953086030601, 0.1372691161295398, 0.15108810587330423]",37.0,COMPLETE
1,0.13874708340108402,2026-08-19 13:28:30.434678,2026-08-19 13:28:33.028169,0 days 00:00:02.593491,silu,,0.0006948466812207145,32,0.0,32,16,adamw,,5.673875241795969e-06,"[23, 29, 44]","[0.13891302669992328, 0.1292179508646795, 0.1481102726386493]",29.0,COMPLETE
2,0.14235085082552174,2026-08-19 13:28:33.127794,2026-08-19 13:28:37.272195,0 days 00:00:04.144401,gelu,,,16,0.0,32,32,rmsprop,0.00014367244478254873,3.1315453646186135e-07,"[54, 53, 58]","[0.14347860724672967, 0.13259564059200193, 0.15097830463783363]",54.0,COMPLETE
3,0.14639538357945073,2026-08-19 13:28:37.371910,2026-08-19 13:28:41.714247,0 days 00:00:04.342337,silu,,0.0004991958135057747,16,0.0,16,16,adamw,,3.0944627114845256e-07,"[31, 31, 32]","[0.14498252501875436, 0.13043605732544064, 0.16376756839415713]",31.0,COMPLETE
4,0.15580096555777334,2026-08-19 13:28:41.814839,2026-08-19 13:28:46.153246,0 days 00:00:04.338407,gelu,0.00023941264388777726,,16,0.0,16,32,adam,,5.8502460382892985e-05,"[37, 38, 32]","[0.13475021836307952, 0.12660414287350202, 0.20604853543673848]",37.0,COMPLETE
5,0.142458050091487,2026-08-19 13:28:46.251702,2026-08-19 13:28:48.983253,0 days 00:00:02.731551,silu,,0.0009659054709974271,32,0.0,64,16,adamw,,0.002777289075485383,"[13, 36, 56]","[0.13909368567164213, 0.13175527892265435, 0.1565251856801645]",36.0,COMPLETE
6,0.13822250873976313,2026-08-19 13:28:49.082233,2026-08-19 13:28:50.802859,0 days 00:00:01.720626,relu,,0.0002031703288533607,32,0.0,32,16,adamw,,4.28312207080013e-05,"[49, 52]","[0.14600475165549817, 0.1304402658240281]",,PRUNED
7,0.25309921946144304,2026-08-19 13:28:50.902802,2026-08-19 13:28:52.589340,0 days 00:00:01.686538,silu,,,32,0.0,64,16,rmsprop,0.008013800294164911,0.002980019920980618,"[93, 41]","[0.2523008455743, 0.2538975933485861]",,PRUNED
8,0.13934484637240874,2026-08-19 13:28:52.687249,2026-08-19 13:28:54.403125,0 days 00:00:01.715876,relu,,0.00032461026909322375,32,0.0,32,16,adamw,,6.93026401291137e-05,"[26, 34]","[0.14549500112437128, 0.13319469162044623]",,PRUNED
9,0.13868930592126058,2026-08-19 13:28:54.501242,2026-08-19 13:28:57.089708,0 days 00:00:02.588466,silu,,0.0008924625667191717,32,0.0,32,16,adamw,,4.428283766271837e-06,"[22, 15, 44]","[0.13895342143893752, 0.12815332318515554, 0.14896117313968865]",22.0,COMPLETE
10,0.1364351136967252,2026-08-19 13:28:57.188607,2026-08-19 13:28:58.872184,0 days 00:00:01.683577,silu,0.0009607830315517864,,32,0.0,16,32,adam,,0.000296503865015781,"[12, 30]","[0.1402315096088685, 0.13263871778458192]",,PRUNED
11,0.13691894466437735,2026-08-19 13:28:58.972428,2026-08-19 13:29:01.565988,0 days 00:00:02.593560,silu,,0.0008553629323383122,32,0.0,32,16,adamw,,4.3862613903650345e-06,"[23, 15, 52]","[0.1347465979782509, 0.1276422805959833, 0.14836795541889777]",23.0,COMPLETE
12,0.13865514419408698,2026-08-19 13:29:01.665122,2026-08-19 13:29:04.264572,0 days 00:00:02.599450,silu,,0.0009938742327956617,32,0.0,32,16,adamw,,3.3452484342121215e-06,"[26, 14, 52]","[0.13853995274041975, 0.1299463528798471, 0.14747912696199406]",26.0,COMPLETE
13,0.13860329429964632,2026-08-19 13:29:04.363638,2026-08-19 13:29:06.962820,0 days 00:00:02.599182,silu,,0.0006737018201088971,32,0.0,32,16,adamw,,1.313106368285724e-06,"[26, 23, 44]","[0.13808762168486693, 0.12910541607761813, 0.14861684513645396]",26.0,COMPLETE
14,0.13565117255931772,2026-08-19 13:29:07.061226,2026-08-19 13:29:08.874105,0 days 00:00:01.812879,silu,,0.0005759199977496913,32,0.0,64,16,adamw,,1.0797669859715026e-07,"[29, 15]","[0.13993852509219584, 0.1313638200264396]",,PRUNED
