number,value,datetime_start,datetime_complete,duration,params_activation,params_adam_learning_rate,params_adamw_learning_rate,params_batch_size,params_dropout,params_hidden_dim,params_hidden_dim_2,params_optimizer,params_rmsprop_learning_rate,params_weight_decay,user_attrs_fold_epochs,user_attrs_fold_scores,user_attrs_recommended_epochs,state
0,0.14608353734644747,2026-08-19 15:16:44.721177,2026-08-19 15:16:49.490428,0 days 00:00:04.769251,gelu,0.0006340681480877335,,16,0.0,32,32,adam,,2.7549376452056877e-06,"[22, 21, 16]","[0.1314691812076051, 0.17026682957923378, 0.13651460125250353]",21.0,COMPLETE
1,0.13938996973767714,2026-08-19 15:16:49.596348,2026-08-19 15:16:52.278845,0 days 00:00:02.682497,silu,,0.0006948466812207145,32,0.0,32,16,adamw,,5.673875241795969e-06,"[31, 39, 20]","[0.12615361586905, 0.15872116681823273, 0.1332951265257487]",31.0,COMPLETE
2,0.1406443535257056,2026-08-19 15:16:52.380189,2026-08-19 15:16:56.592343,0 days 00:00:04.212154,gelu,,,16,0.0,32,32,rmsprop,0.00014367244478254873,3.1315453646186135e-07,"[68, 66, 89]","[0.12796945250680125, 0.1665925571283152, 0.12737105094200032]",68.0,COMPLETE
3,0.14027855414364995,2026-08-19 15:16:56.693962,2026-08-19 15:17:01.166815,0 days 00:00:04.472853,silu,,0.0004991958135057747,16,0.0,16,16,adamw,,3.0944627114845256e-07,"[25, 21, 24]","[0.1229746532455619, 0.16300718174196827, 0.1348538274434197]",24.0,COMPLETE
4,0.14433897412980234,2026-08-19 15:17:01.266193,2026-08-19 15:17:05.633717,0 days 00:00:04.367524,gelu,0.00023941264388777726,,16,0.0,16,32,adam,,5.8502460382892985e-05,"[40, 27, 26]","[0.12322399253577543, 0.1723775809169845, 0.13741534893664706]",27.0,COMPLETE
5,0.14511733363605203,2026-08-19 15:17:05.733258,2026-08-19 15:17:08.513616,0 days 00:00:02.780358,silu,,0.0009659054709974271,32,0.0,64,16,adamw,,0.002777289075485383,"[35, 24, 12]","[0.12945693077855494, 0.16527001095059463, 0.14062505917900647]",24.0,COMPLETE
6,0.15408685004078979,2026-08-19 15:17:08.617896,2026-08-19 15:17:11.964561,0 days 00:00:03.346665,relu,,0.0002031703288533607,32,0.0,32,16,adamw,,4.28312207080013e-05,"[83, 93, 85]","[0.13107651885778646, 0.16711058918274008, 0.16407344208184282]",85.0,COMPLETE
7,0.17129703565124013,2026-08-19 15:17:12.072930,2026-08-19 15:17:13.946484,0 days 00:00:01.873554,silu,,,32,0.0,64,16,rmsprop,0.008013800294164911,0.002980019920980618,"[97, 98]","[0.1514304912958095, 0.19116358000667077]",,PRUNED
8,0.15371837957287512,2026-08-19 15:17:14.054418,2026-08-19 15:17:16.694467,0 days 00:00:02.640049,relu,,0.00032461026909322375,32,0.0,32,16,adamw,,6.93026401291137e-05,"[55, 78, 59]","[0.1301952571660857, 0.16642425608012001, 0.16453562547241968]",59.0,COMPLETE
9,0.14123236366229125,2026-08-19 15:17:16.797216,2026-08-19 15:17:19.483860,0 days 00:00:02.686644,silu,,0.0008924625667191717,32,0.0,32,16,adamw,,4.428283766271837e-06,"[21, 21, 17]","[0.1257389948719586, 0.16246602213492312, 0.13549207397999202]",21.0,COMPLETE
10,0.14651463609402424,2026-08-19 15:17:19.604975,2026-08-19 15:17:22.874421,0 days 00:00:03.269446,silu,0.0009607830315517864,,32,0.0,16,32,adam,,0.000296503865015781,"[22, 15, 17]","[0.12544596336358996, 0.17100050742645634, 0.14309743749202644]",17.0,COMPLETE
11,0.139428191086317,2026-08-19 15:17:23.081384,2026-08-19 15:17:27.574678,0 days 00:00:04.493294,silu,,0.0005323152804217257,16,0.0,16,16,adamw,,3.6340786008142884e-07,"[25, 21, 24]","[0.12389146972226851, 0.16175002032900612, 0.1326430832076763]",24.0,COMPLETE
12,0.14016690636783924,2026-08-19 15:17:27.678043,2026-08-19 15:17:32.077429,0 days 00:00:04.399386,silu,,0.0005510946120981262,16,0.0,16,16,adamw,,2.0568804081773677e-06,"[25, 21, 22]","[0.12371031113483971, 0.16196095766851037, 0.1348294503001676]",22.0,COMPLETE
13,0.13904572023334313,2026-08-19 15:17:32.186635,2026-08-19 15:17:36.909032,0 days 00:00:04.722397,silu,,0.0005827800217339587,16,0.0,16,16,adamw,,1.0576327033632287e-07,"[25, 29, 24]","[0.12421187847960469, 0.16056707417131227, 0.1323582080491124]",25.0,COMPLETE
14,0.14491251601054722,2026-08-19 15:17:37.013045,2026-08-19 15:17:42.149355,0 days 00:00:05.136310,silu,,0.0006848288115740658,16,0.0,64,16,adamw,,1.0445160428444038e-07,"[17, 48, 14]","[0.13135117178955516, 0.163182277670351, 0.14020409857173546]",17.0,COMPLETE
