number,value,datetime_start,datetime_complete,duration,params_activation,params_adam_learning_rate,params_adamw_learning_rate,params_batch_size,params_dropout,params_hidden_dim,params_hidden_dim_2,params_optimizer,params_rmsprop_learning_rate,params_weight_decay,user_attrs_fold_epochs,user_attrs_fold_scores,user_attrs_recommended_epochs,state
0,0.14611708359645337,2026-08-19 13:29:09.288009,2026-08-19 13:29:13.784959,0 days 00:00:04.496950,gelu,0.0006340681480877335,,16,0.0,32,32,adam,,2.7549376452056877e-06,"[24, 13, 16]","[0.13017920158413332, 0.1708270803950503, 0.1373449688101765]",16.0,COMPLETE
1,0.139263557989082,2026-08-19 13:29:13.888795,2026-08-19 13:29:16.501625,0 days 00:00:02.612830,silu,,0.0006948466812207145,32,0.0,32,16,adamw,,5.673875241795969e-06,"[21, 48, 20]","[0.12686384323289, 0.15886706252290655, 0.13205976821144952]",21.0,COMPLETE
2,0.14029653256898278,2026-08-19 13:29:16.600785,2026-08-19 13:29:20.818488,0 days 00:00:04.217703,gelu,,,16,0.0,32,32,rmsprop,0.00014367244478254873,3.1315453646186135e-07,"[57, 51, 63]","[0.12880217582785303, 0.16522766796365246, 0.12685975391544288]",57.0,COMPLETE
3,0.14086751835366776,2026-08-19 13:29:20.917183,2026-08-19 13:29:25.271870,0 days 00:00:04.354687,silu,,0.0004991958135057747,16,0.0,16,16,adamw,,3.0944627114845256e-07,"[25, 21, 22]","[0.12344147015878737, 0.16371083807143794, 0.13545024683077803]",22.0,COMPLETE
4,0.14362259048310166,2026-08-19 13:29:25.371394,2026-08-19 13:29:29.708646,0 days 00:00:04.337252,gelu,0.00023941264388777726,,16,0.0,16,32,adam,,5.8502460382892985e-05,"[33, 28, 26]","[0.12291821136792964, 0.17124048729375813, 0.1367090727876172]",28.0,COMPLETE
5,0.1457962173460515,2026-08-19 13:29:29.809864,2026-08-19 13:29:32.560579,0 days 00:00:02.750715,silu,,0.0009659054709974271,32,0.0,64,16,adamw,,0.002777289075485383,"[13, 28, 16]","[0.1294126215793739, 0.16601156463110942, 0.14196446582767117]",16.0,COMPLETE
6,0.15055477807026862,2026-08-19 13:29:32.659923,2026-08-19 13:29:35.263346,0 days 00:00:02.603423,relu,,0.0002031703288533607,32,0.0,32,16,adamw,,4.28312207080013e-05,"[32, 75, 71]","[0.1303143857763073, 0.1620549630418335, 0.15929498539266507]",71.0,COMPLETE
7,0.2762995263650623,2026-08-19 13:29:35.362600,2026-08-19 13:29:37.084745,0 days 00:00:01.722145,silu,,,32,0.0,64,16,rmsprop,0.008013800294164911,0.002980019920980618,"[99, 85]","[0.24111966275620933, 0.31147938997391517]",,PRUNED
8,0.15327559814978767,2026-08-19 13:29:37.183803,2026-08-19 13:29:39.824643,0 days 00:00:02.640840,relu,,0.00032461026909322375,32,0.0,32,16,adamw,,6.93026401291137e-05,"[55, 60, 58]","[0.1279752337020447, 0.16440882549006125, 0.16744273525725703]",58.0,COMPLETE
9,0.14230867828144042,2026-08-19 13:29:39.923478,2026-08-19 13:29:42.568633,0 days 00:00:02.645155,silu,,0.0008924625667191717,32,0.0,32,16,adamw,,4.428283766271837e-06,"[21, 28, 12]","[0.1265327512236999, 0.16132487272154733, 0.13906841089907399]",21.0,COMPLETE
10,0.14662323825538234,2026-08-19 13:29:42.667067,2026-08-19 13:29:45.186533,0 days 00:00:02.519466,silu,0.0009607830315517864,,32,0.0,16,32,adam,,0.000296503865015781,"[20, 20, 20]","[0.12494835413271349, 0.1668998472019341, 0.14802151343149936]",20.0,COMPLETE
11,0.1387625162046164,2026-08-19 13:29:45.285391,2026-08-19 13:29:49.499085,0 days 00:00:04.213694,gelu,,,16,0.0,32,32,rmsprop,0.00010827449015103997,3.6342367235491796e-07,"[92, 97, 68]","[0.12758693725968828, 0.16254004004042866, 0.12616057131373232]",92.0,COMPLETE
12,0.13881815084107393,2026-08-19 13:29:49.600833,2026-08-19 13:29:53.793380,0 days 00:00:04.192547,gelu,,,16,0.0,32,32,rmsprop,0.00011916933182061502,2.0568855126084993e-06,"[92, 97, 68]","[0.12880759461743, 0.16253961650572582, 0.125107241400066]",92.0,COMPLETE
13,0.1391710251107925,2026-08-19 13:29:53.891939,2026-08-19 13:29:58.110295,0 days 00:00:04.218356,gelu,,,16,0.0,32,32,rmsprop,0.00012094136116126601,1.0576327033632287e-07,"[96, 70, 66]","[0.12777224783664315, 0.16321352125966485, 0.12652730623606945]",70.0,COMPLETE
14,0.14350761374773058,2026-08-19 13:29:58.209218,2026-08-19 13:30:02.615543,0 days 00:00:04.406325,gelu,,,16,0.0,64,32,rmsprop,0.00011837673552045318,1.0950521889148082e-06,"[42, 92, 44]","[0.1263191345244901, 0.1643583292583182, 0.13984537746038347]",44.0,COMPLETE
