mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__regressor__max_features,param_model__regressor__min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
5.802524900436401,0.04727484493222606,0.04784913063049316,0.00322789825301006,0.2,1,"{'model__regressor__max_features': 0.2, 'model__regressor__min_samples_leaf': 1}",-0.13909922277399386,-0.14601499661487108,-0.14050360562014974,-0.12370519295898291,-0.12212621443637435,-0.1342898464808744,0.009583411535846595,2,-0.04946983986403701,-0.050550586825225084,-0.050266290535231205,-0.05082144093931174,-0.0516256709335749,-0.050546765819475994,0.0007039791424951255
4.0013776302337645,0.010486761235609467,0.039327239990234374,0.0018827464379802838,0.2,2,"{'model__regressor__max_features': 0.2, 'model__regressor__min_samples_leaf': 2}",-0.14101500414770535,-0.14665126760758845,-0.14397334236396347,-0.12535554386134248,-0.12365512939543066,-0.13613005747520607,0.009672534918003847,8,-0.06540855904263831,-0.06803116683505213,-0.06787145750849324,-0.06805305734568799,-0.06793083903198316,-0.06745901595277096,0.0010273597620958823
3.193970775604248,0.0066628199995697026,0.037054920196533205,0.0010784728649811538,0.2,3,"{'model__regressor__max_features': 0.2, 'model__regressor__min_samples_leaf': 3}",-0.14239155145701737,-0.14873039034766136,-0.1456499350707418,-0.12606739314302953,-0.12521065606924012,-0.13760998521753803,0.009981406461305641,13,-0.08030226051819425,-0.08236244462461939,-0.08199330603925226,-0.083964982435127,-0.08368078845231659,-0.0824607564139019,0.0013144165009727916
8.393899154663085,0.03123252652482978,0.04530534744262695,0.0014675293458795168,0.3,1,"{'model__regressor__max_features': 0.3, 'model__regressor__min_samples_leaf': 1}",-0.1396006163513075,-0.14550598620616356,-0.1401969158140553,-0.12482585844048773,-0.12060251949334945,-0.1341463792610727,0.0096509751894525,1,-0.04935782125599644,-0.0506513158442159,-0.05037135976078971,-0.05122466631952089,-0.05131106918242106,-0.05058324647258879,0.0007060229028065765
5.5948326110839846,0.009562733674412136,0.04077224731445313,0.0014832872730461987,0.3,2,"{'model__regressor__max_features': 0.3, 'model__regressor__min_samples_leaf': 2}",-0.14146366046949782,-0.14763852365046842,-0.1428340273872586,-0.1239888359420989,-0.12234442334022906,-0.13565389415791057,0.01041301722350751,5,-0.06293935663197818,-0.06542980750265856,-0.06550289926605812,-0.06558178444707537,-0.06551644094145195,-0.06499405775784443,0.0010284844275897512
4.826323080062866,0.02295618130931907,0.037764787673950195,0.0022960597958895336,0.3,3,"{'model__regressor__max_features': 0.3, 'model__regressor__min_samples_leaf': 3}",-0.14203781960821676,-0.14910042069307383,-0.14577815270050865,-0.12578630679748656,-0.12411551842305649,-0.13736364364446846,0.010391836887034277,11,-0.07687380744750343,-0.07928840265305401,-0.07895916686390278,-0.08016028085440717,-0.08026452504181793,-0.07910923657213706,0.0012240220835108499
11.249181175231934,0.025771794248321205,0.050464725494384764,0.0023113309471303163,0.4,1,"{'model__regressor__max_features': 0.4, 'model__regressor__min_samples_leaf': 1}",-0.14041781108888202,-0.1460334849107951,-0.14084159175033004,-0.12572436570275686,-0.12042802808304211,-0.13468905630716121,0.00982965907560686,3,-0.04919953054841578,-0.0507136445149539,-0.05070178505274554,-0.05099493402118831,-0.05136658668918117,-0.05059529616529694,0.0007386619470880115
7.500412130355835,0.016891238698474993,0.04500141143798828,0.002250725088852765,0.4,2,"{'model__regressor__max_features': 0.4, 'model__regressor__min_samples_leaf': 2}",-0.14092875274660926,-0.1473940847617428,-0.14406963559116498,-0.1261650510013033,-0.12131033990651104,-0.1359735728014663,0.01031257129191629,7,-0.06167269546919986,-0.06453420176367287,-0.06477460279060145,-0.06437594953112077,-0.06464974516899828,-0.06400143894471864,0.0011717699320582212
6.21746940612793,0.012122712066772052,0.042490386962890626,0.0031466714343971144,0.4,3,"{'model__regressor__max_features': 0.4, 'model__regressor__min_samples_leaf': 3}",-0.14293065608534455,-0.14893695280685215,-0.14568243505976877,-0.12871217245572064,-0.12346255759690847,-0.13794495480091892,0.01000533794356382,14,-0.07490597639205558,-0.07714793827357475,-0.07737762670346873,-0.07819292936456076,-0.07835894281033808,-0.07719668270879958,0.001234974341554244
13.742141246795654,0.02400237405030722,0.05528101921081543,0.0032591812354242564,0.5,1,"{'model__regressor__max_features': 0.5, 'model__regressor__min_samples_leaf': 1}",-0.13981761518651897,-0.14786450115084337,-0.13994623729996764,-0.1267377822523438,-0.12135928642199216,-0.13514508446233317,0.00966848624029532,4,-0.04993463516098681,-0.05113619656070416,-0.050726755759497984,-0.05079906891256436,-0.05162683094208477,-0.05084469746716762,0.0005551414426347474
8.778055953979493,0.019968586618044893,0.03923125267028808,0.0009489292640312719,0.5,2,"{'model__regressor__max_features': 0.5, 'model__regressor__min_samples_leaf': 2}",-0.140992174550549,-0.14712559125265207,-0.14329925151605136,-0.12717848327986925,-0.12230373763768553,-0.13617984764736143,0.009666692239007162,9,-0.0613367094324937,-0.06347835296962714,-0.0639846351447238,-0.06370066131152448,-0.06377308835801766,-0.06325468944327736,0.000972535013654193
7.067964553833008,0.01898504365451174,0.03812947273254395,0.0019131807307976687,0.5,3,"{'model__regressor__max_features': 0.5, 'model__regressor__min_samples_leaf': 3}",-0.1421163791592541,-0.14900745411247412,-0.14467252686003457,-0.12865933830275902,-0.12340074722953784,-0.13757128913281194,0.009819352478435366,12,-0.0738457350310346,-0.07613871749548186,-0.0761554143090921,-0.07686564231569773,-0.0774624789627256,-0.07609359762280639,0.0012270804755761752
14.744676446914672,0.05267348738114039,0.04367084503173828,0.001602163381491784,0.6,1,"{'model__regressor__max_features': 0.6, 'model__regressor__min_samples_leaf': 1}",-0.1410453920296648,-0.1480005429693051,-0.14009427853341486,-0.1286240227020869,-0.12180621445771075,-0.1359140901384365,0.009402806130071852,6,-0.04968614069013104,-0.05147241318655496,-0.05121586807372885,-0.05101371322677931,-0.05209902687878551,-0.05109743241119593,0.000794554251054037
9.839839363098145,0.040906727489137054,0.039049386978149414,0.0019208361765437536,0.6,2,"{'model__regressor__max_features': 0.6, 'model__regressor__min_samples_leaf': 2}",-0.14263496913867885,-0.14845287961283044,-0.14305725997364246,-0.12921809541387963,-0.12264618317799186,-0.13720187746340465,0.009653994518376657,10,-0.060749963453861515,-0.06353432394434207,-0.06404357057862262,-0.06360644064568947,-0.06392436176358418,-0.06317173207721996,0.001225721133375133
7.9651648044586185,0.020634633205768468,0.031433391571044925,0.003735856718490106,0.6,3,"{'model__regressor__max_features': 0.6, 'model__regressor__min_samples_leaf': 3}",-0.14355359171068374,-0.149741585250006,-0.14598233618266765,-0.13092972510498227,-0.12377033635655206,-0.13879551492097836,0.009815628258593995,15,-0.07294017886920923,-0.07519526637981237,-0.07574682298873867,-0.0757549116207156,-0.0767109915489715,-0.07526963428148947,0.0012627436029073666
