number,value,datetime_start,datetime_complete,duration,params_activation,params_adam_learning_rate,params_adamw_learning_rate,params_batch_size,params_dropout,params_embedding_dim,params_hidden_dim,params_hidden_dim_2,params_optimizer,params_rmsprop_learning_rate,params_weight_decay,user_attrs_fold_epochs,user_attrs_fold_scores,user_attrs_recommended_epochs,state
0,0.1777846648919028,2026-08-20 13:40:42.806788,2026-08-20 13:41:02.079665,0 days 00:00:19.272877,relu,,0.0009908433809192958,16,0.0,4,32,16,adamw,,1.8393727699389582e-05,"[85, 77, 77]","[0.1871262899347107, 0.15743339490243016, 0.18879430983856765]",77.0,COMPLETE
1,0.1852937590038969,2026-08-20 13:41:02.183825,2026-08-20 13:41:21.476950,0 days 00:00:19.293125,silu,,0.0004595041739214871,16,0.0,2,32,32,adamw,,5.431649269585544e-05,"[95, 91, 64]","[0.1923850952970274, 0.15076607274606588, 0.21273010896859748]",91.0,COMPLETE
2,0.2192501352642757,2026-08-20 13:41:21.582415,2026-08-20 13:41:31.870130,0 days 00:00:10.287715,gelu,,0.0007594891937196535,32,0.0,2,16,16,adamw,,0.0006675332557234355,"[100, 92, 95]","[0.23796836557615275, 0.1936875554918979, 0.22609448472477642]",95.0,COMPLETE
3,0.21134891286440302,2026-08-20 13:41:31.973941,2026-08-20 13:41:42.457884,0 days 00:00:10.483943,relu,0.0005006867092487975,,32,0.0,4,16,16,adam,,0.0005873441858074232,"[94, 96, 98]","[0.22885864703746106, 0.19104656008872126, 0.21414153146702672]",96.0,COMPLETE
4,0.15834526153053893,2026-08-20 13:41:42.565021,2026-08-20 13:42:02.361169,0 days 00:00:19.796148,gelu,0.0007970707387311769,,16,0.0,8,64,16,adam,,1.7148994541150932e-06,"[63, 36, 48]","[0.14928189504290995, 0.16048784840433786, 0.16526604114436894]",48.0,COMPLETE
5,0.1459300789371624,2026-08-20 13:42:02.478951,2026-08-20 13:42:23.147446,0 days 00:00:20.668495,gelu,0.000992676864000753,,16,0.0,8,64,32,adam,,1.194620876284463e-07,"[54, 28, 57]","[0.1510927227648792, 0.1484017909177425, 0.13829572312886548]",54.0,COMPLETE
6,0.19630877341546848,2026-08-20 13:42:23.255863,2026-08-20 13:42:41.010053,0 days 00:00:17.754190,gelu,,,16,0.0,8,64,32,rmsprop,0.0005980342919124214,1.5957372142521548e-07,"[85, 40, 76]","[0.17168454530875396, 0.20693040350965006, 0.21031137142800146]",76.0,COMPLETE
7,0.14381822492577032,2026-08-20 13:42:41.112250,2026-08-20 13:43:02.123961,0 days 00:00:21.011711,silu,0.00021927476680758028,,16,0.0,8,64,32,adam,,2.0404976901749873e-07,"[85, 61, 85]","[0.13980094809696547, 0.1347459077507884, 0.15690781892955707]",85.0,COMPLETE
8,0.15161032741490457,2026-08-20 13:43:02.301994,2026-08-20 13:43:11.878076,0 days 00:00:09.576082,silu,,,32,0.0,8,64,32,rmsprop,0.008487812118978828,4.712153277705419e-06,"[99, 98, 97]","[0.14297364343003174, 0.1437495143895396, 0.16810782442514233]",98.0,COMPLETE
9,0.16972942794838772,2026-08-20 13:43:11.984575,2026-08-20 13:43:32.039159,0 days 00:00:20.054584,silu,0.00021012314552888868,,16,0.0,8,64,32,adam,,0.0026277042674142242,"[88, 100, 100]","[0.15795502138198858, 0.15196557655553472, 0.19926768590763982]",100.0,COMPLETE
10,0.33017867250627647,2026-08-20 13:43:32.166813,2026-08-20 13:43:39.310759,0 days 00:00:07.143946,silu,0.0002031337430401638,,32,0.0,2,32,32,adam,,1.6143314577747728e-06,"[100, 100]","[0.31147074244910766, 0.3488866025634453]",,PRUNED
11,0.15953454533390962,2026-08-20 13:43:39.413894,2026-08-20 13:44:00.648181,0 days 00:00:21.234287,gelu,0.0004084947436860087,,16,0.0,8,64,32,adam,,1.1559842382672594e-07,"[46, 41, 70]","[0.15380897841756722, 0.14989836043799704, 0.17489629714616461]",46.0,COMPLETE
12,0.14303094049063828,2026-08-20 13:44:00.782290,2026-08-20 13:44:21.727806,0 days 00:00:20.945516,silu,0.0009820070794499276,,16,0.0,8,64,32,adam,,4.5579821566364245e-07,"[75, 65, 57]","[0.14154720251218939, 0.1387457879719053, 0.14879983098782015]",65.0,COMPLETE
13,0.14753537633387007,2026-08-20 13:44:21.830592,2026-08-20 13:44:41.578928,0 days 00:00:19.748336,silu,0.00035254279310460235,,16,0.0,8,64,32,adam,,4.756036982584785e-07,"[47, 51, 41]","[0.14286397324559313, 0.13905085129528705, 0.16069130446073004]",47.0,COMPLETE
14,0.14890915036963548,2026-08-20 13:44:41.679490,2026-08-20 13:45:01.438087,0 days 00:00:19.758597,silu,0.0006313086218523944,,16,0.0,8,64,32,adam,,6.779358683690618e-07,"[45, 47, 49]","[0.14627424280424695, 0.14140746884332103, 0.15904573946133851]",47.0,COMPLETE
