fold,validation_score,fit_time_seconds,score_time_seconds,train_score
1,0.12326790113708934,0.09003090858459473,0.004408121109008789,0.09409182855992572
2,0.1628302513631056,0.07214784622192383,0.004932880401611328,0.08807519934083806
3,0.19616825924344436,0.09991216659545898,0.004369974136352539,0.09246300250902066
4,0.16767274286342093,0.07714986801147461,0.009582996368408203,0.0832416731909785
5,0.12582833284059888,0.07683682441711426,0.004494190216064453,0.09336620430279627
