mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__regressor__alpha,param_model__regressor__l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.6865063667297363,0.32277213252029846,0.005511808395385742,0.00176467411686481,5e-05,0.2,"{'model__regressor__alpha': 5e-05, 'model__regressor__l1_ratio': 0.2}",-0.13588253981487053,-0.15373390907618448,-0.18746728799981055,-0.14186698003533818,-0.11533930907391854,-0.14685800520002446,0.023812565093799715,14,-0.08852231650329088,-0.08736075628267576,-0.09117344111482628,-0.08988893405927369,-0.09175828180573338,-0.08974074595315999,0.0016305794806383764
0.6234211444854736,0.19088844126406282,0.005080223083496094,0.0007407825705807446,5e-05,0.5,"{'model__regressor__alpha': 5e-05, 'model__regressor__l1_ratio': 0.5}",-0.13304001771541066,-0.15386447786311394,-0.18600930888820258,-0.14124360295071337,-0.11366577064303138,-0.14556463561209437,0.02407377802022822,12,-0.08885664038503065,-0.08756593244821463,-0.0914742600075892,-0.09008523603298867,-0.09202810774963366,-0.09000203532469137,0.0016447409606673588
0.20268826484680175,0.0572343351608589,0.004650402069091797,0.00012937897054994912,5e-05,0.8,"{'model__regressor__alpha': 5e-05, 'model__regressor__l1_ratio': 0.8}",-0.13206523513860885,-0.15418798914647228,-0.18595835163626187,-0.14070454350969128,-0.11337011858628283,-0.14525724760346342,0.024281199798994096,11,-0.08933713296886908,-0.08791786995933226,-0.09182427399794768,-0.09041739932216651,-0.09244588440226023,-0.09038851213011516,0.0016434413986468304
0.3904441833496094,0.1956881484646796,0.0049056529998779295,0.0003895058679738125,0.0001,0.2,"{'model__regressor__alpha': 0.0001, 'model__regressor__l1_ratio': 0.2}",-0.13382197748431618,-0.151031628869214,-0.18636734204646124,-0.1357527498446721,-0.11499260465671927,-0.14439326058027654,0.02390272147380677,10,-0.08928110000414341,-0.08808659296923467,-0.0915457599450589,-0.0907939894509951,-0.09246898256663565,-0.09043528498721354,0.001571384519418977
0.3667308330535889,0.15383414885624694,0.00631861686706543,0.0021679721484018015,0.0001,0.5,"{'model__regressor__alpha': 0.0001, 'model__regressor__l1_ratio': 0.5}",-0.13052952808236878,-0.15067647406014348,-0.1860501751745208,-0.13408222788917276,-0.11335708075802836,-0.14293909719284686,0.024600688125532247,9,-0.09012420250212987,-0.08873739594887377,-0.0923024665307179,-0.09132925288669655,-0.09326602284227921,-0.09115186814213946,0.001594413041544345
0.22695908546447754,0.0907270414219999,0.005513238906860352,0.0012826805078782679,0.0001,0.8,"{'model__regressor__alpha': 0.0001, 'model__regressor__l1_ratio': 0.8}",-0.12842805398659296,-0.1500921990671873,-0.1871810103094074,-0.1337804136171427,-0.11282307274628803,-0.14246094994532368,0.025332972217747305,8,-0.09107553131037861,-0.08947128872542705,-0.0933148857371822,-0.0919452403961853,-0.09428524705212674,-0.09201843864425999,0.0016853249155899276
0.27433362007141116,0.013899248952596923,0.0055729389190673825,0.0018389660361374301,0.0005,0.2,"{'model__regressor__alpha': 0.0005, 'model__regressor__l1_ratio': 0.2}",-0.12904351186481094,-0.141441851611063,-0.18421401437829402,-0.11793534435681167,-0.11572496986503725,-0.13767193841520337,0.025004117256010688,6,-0.09543964556640575,-0.0944643566115574,-0.09493439584221003,-0.09815670067965343,-0.09843589038458568,-0.09628619781688245,0.0016723088090546316
0.349941349029541,0.0529744138614245,0.004841852188110352,0.00023269005477204367,0.0005,0.5,"{'model__regressor__alpha': 0.0005, 'model__regressor__l1_ratio': 0.5}",-0.12483319419885723,-0.13917031673409405,-0.18436153358926027,-0.11575636968919872,-0.11314133675912284,-0.13545255019410662,0.026093719313162005,3,-0.098929841383633,-0.09775514561856362,-0.09833482091943338,-0.10148996282981347,-0.10146939857528171,-0.09959583386534503,0.0015823907301075397
0.20085058212280274,0.005741526203934046,0.005576467514038086,0.0013456655727847758,0.0005,0.8,"{'model__regressor__alpha': 0.0005, 'model__regressor__l1_ratio': 0.8}",-0.12171181755938376,-0.13893379626406466,-0.1864294644695228,-0.1147308632307395,-0.11188816778311758,-0.13473882186136565,0.027501614443286738,2,-0.10154967904228383,-0.09950102639470136,-0.1007960665782801,-0.10366279901077308,-0.10375985421526826,-0.10185388504826132,0.0016524135827624567
0.26540045738220214,0.02827077706678883,0.005726528167724609,0.0019330301435254253,0.001,0.2,"{'model__regressor__alpha': 0.001, 'model__regressor__l1_ratio': 0.2}",-0.12728896235233192,-0.13780068123022401,-0.18215206684407897,-0.11432466956063114,-0.11573340861294185,-0.13545995772004157,0.024852502294768635,4,-0.10078355876502619,-0.09970377574118466,-0.09828449006570643,-0.10407038403022892,-0.10309107678648048,-0.10118665707772534,0.0021319800297987285
0.16355199813842775,0.009234010296336156,0.0056308269500732425,0.00105021967212589,0.001,0.5,"{'model__regressor__alpha': 0.001, 'model__regressor__l1_ratio': 0.5}",-0.12415681629563549,-0.13540151311660165,-0.18558531862861036,-0.11356397123620483,-0.11394877334316168,-0.1345312785240428,0.026751333724497364,1,-0.10680419302506812,-0.1049486792129655,-0.10335740349025956,-0.11039450717338167,-0.10890245772952396,-0.10688144812623976,0.0025529010284157075
0.09863157272338867,0.009180909015476992,0.004819202423095703,0.00036198449586068106,0.001,0.8,"{'model__regressor__alpha': 0.001, 'model__regressor__l1_ratio': 0.8}",-0.12427906595808677,-0.1359973447079989,-0.18910451288998806,-0.1145369917042567,-0.11446690532621383,-0.13567696411730884,0.027861380875951636,5,-0.11257132387803023,-0.10873212696506908,-0.10751807139558608,-0.11612903680906396,-0.11431506612281236,-0.11185312503411235,0.00326783426772766
0.0902294635772705,0.0089319225610462,0.004878044128417969,0.00011228932934552024,0.005,0.2,"{'model__regressor__alpha': 0.005, 'model__regressor__l1_ratio': 0.2}",-0.1266206374311661,-0.13686757225801335,-0.19193015441694364,-0.12052273522685718,-0.11837515488358104,-0.13886325084331227,0.027298707515927414,7,-0.11976910849311298,-0.11863342223194874,-0.11267073432266843,-0.12337768309098505,-0.12200818446003436,-0.11929182651974993,0.003703322307091226
0.03598904609680176,0.002187373142578409,0.0048233985900878905,0.00024850337276349457,0.005,0.5,"{'model__regressor__alpha': 0.005, 'model__regressor__l1_ratio': 0.5}",-0.12972176203432473,-0.1474105863028646,-0.20068121802739788,-0.12897654904678224,-0.1265255173209467,-0.14666312654646324,0.028013786119819795,13,-0.134695102721101,-0.13217157266092203,-0.12229478096137131,-0.13648289860217136,-0.13621173488226226,-0.13237121796556559,0.005265555415130374
0.03066716194152832,0.004662921888237865,0.0045086383819580075,0.00024642553119683775,0.005,0.8,"{'model__regressor__alpha': 0.005, 'model__regressor__l1_ratio': 0.8}",-0.13274404263490835,-0.15287643181238225,-0.20515684661487862,-0.12959277552201123,-0.13145699627702417,-0.1503654185722409,0.02866339057876796,15,-0.1419205983332624,-0.13842135832828265,-0.12766807785821024,-0.14250586302759247,-0.1422552174208315,-0.13855422299363584,0.005642182389185902
