mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__regressor__subsample,param_model__regressor__reg_lambda,param_model__regressor__reg_alpha,param_model__regressor__n_estimators,param_model__regressor__min_child_weight,param_model__regressor__max_depth,param_model__regressor__learning_rate,param_model__regressor__gamma,param_model__regressor__colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.32072941462198895,0.01447946457079305,0.011383930842081705,0.0011504695340558671,0.6,20.0,0.001,1000,10.0,3,0.03,0.0,1.0,"{'model__regressor__subsample': 0.6, 'model__regressor__reg_lambda': 20.0, 'model__regressor__reg_alpha': 0.001, 'model__regressor__n_estimators': 1000, 'model__regressor__min_child_weight': 10.0, 'model__regressor__max_depth': 3, 'model__regressor__learning_rate': 0.03, 'model__regressor__gamma': 0.0, 'model__regressor__colsample_bytree': 1.0}",-0.13215431571006775,-0.12665988504886627,-0.11953026056289673,-0.12611482044061026,0.005168140456043079,5,-0.06892114132642746,-0.0728953406214714,-0.07070042192935944,-0.0708389679590861,0.0016254150774385218
0.5942335923512777,0.05743754728871847,0.012265364329020182,0.0004259271826694512,0.8,1.0,0.0,1500,5.0,3,0.1,0.0,1.0,"{'model__regressor__subsample': 0.8, 'model__regressor__reg_lambda': 1.0, 'model__regressor__reg_alpha': 0.0, 'model__regressor__n_estimators': 1500, 'model__regressor__min_child_weight': 5.0, 'model__regressor__max_depth': 3, 'model__regressor__learning_rate': 0.1, 'model__regressor__gamma': 0.0, 'model__regressor__colsample_bytree': 1.0}",-0.12907716631889343,-0.1262820065021515,-0.12249956279993057,-0.1259529118736585,0.002695359526920958,4,-0.00680937385186553,-0.007231805939227343,-0.006966291461139917,-0.00700249041741093,0.00017434638020245315
0.5169546604156494,0.054716429991710336,0.013352314631144205,0.0008421480016101931,0.8,1.0,1.0,1000,5.0,4,0.05,0.0,0.7,"{'model__regressor__subsample': 0.8, 'model__regressor__reg_lambda': 1.0, 'model__regressor__reg_alpha': 1.0, 'model__regressor__n_estimators': 1000, 'model__regressor__min_child_weight': 5.0, 'model__regressor__max_depth': 4, 'model__regressor__learning_rate': 0.05, 'model__regressor__gamma': 0.0, 'model__regressor__colsample_bytree': 0.7}",-0.13542814552783966,-0.1266881376504898,-0.12167608737945557,-0.12793079018592834,0.005682600040005643,11,-0.05319230630993843,-0.05470160394906998,-0.05396536737680435,-0.05395309254527092,0.0006162293103971904
0.26767341295878094,0.0616727344270674,0.009171168009440104,0.0007191612938535858,1.0,5.0,0.01,1000,1.0,8,0.05,0.1,1.0,"{'model__regressor__subsample': 1.0, 'model__regressor__reg_lambda': 5.0, 'model__regressor__reg_alpha': 0.01, 'model__regressor__n_estimators': 1000, 'model__regressor__min_child_weight': 1.0, 'model__regressor__max_depth': 8, 'model__regressor__learning_rate': 0.05, 'model__regressor__gamma': 0.1, 'model__regressor__colsample_bytree': 1.0}",-0.14588461816310883,-0.1299174278974533,-0.13532593846321106,-0.1370426615079244,0.006630643244517506,26,-0.08308945596218109,-0.08639843016862869,-0.08558753877878189,-0.08502514163653056,0.0014082010945276322
0.22201959292093912,0.003064243511568486,0.00974583625793457,0.00020259052048246786,0.8,0.1,0.001,1500,1.0,6,0.1,0.01,0.5,"{'model__regressor__subsample': 0.8, 'model__regressor__reg_lambda': 0.1, 'model__regressor__reg_alpha': 0.001, 'model__regressor__n_estimators': 1500, 'model__regressor__min_child_weight': 1.0, 'model__regressor__max_depth': 6, 'model__regressor__learning_rate': 0.1, 'model__regressor__gamma': 0.01, 'model__regressor__colsample_bytree': 0.5}",-0.13679708540439606,-0.12627139687538147,-0.12701407074928284,-0.13002751767635345,0.004796399798401633,16,-0.03747912868857384,-0.03805309161543846,-0.03772434592247009,-0.0377521887421608,0.00023514502944636562
0.30230991045633954,0.0060753773372124,0.01033933957417806,0.0008843087551777068,1.0,0.1,1.0,600,5.0,4,0.03,0.0,0.9,"{'model__regressor__subsample': 1.0, 'model__regressor__reg_lambda': 0.1, 'model__regressor__reg_alpha': 1.0, 'model__regressor__n_estimators': 600, 'model__regressor__min_child_weight': 5.0, 'model__regressor__max_depth': 4, 'model__regressor__learning_rate': 0.03, 'model__regressor__gamma': 0.0, 'model__regressor__colsample_bytree': 0.9}",-0.14078748226165771,-0.125978022813797,-0.1271032691001892,-0.13128959139188132,0.0067317156323330836,22,-0.06866227835416794,-0.07302460819482803,-0.06970257312059402,-0.07046315322319667,0.0018603479923631969
0.17902104059855142,0.006367826388573546,0.009180625279744467,0.00019848355858730364,0.6,20.0,0.001,1000,5.0,2,0.03,0.0,0.5,"{'model__regressor__subsample': 0.6, 'model__regressor__reg_lambda': 20.0, 'model__regressor__reg_alpha': 0.001, 'model__regressor__n_estimators': 1000, 'model__regressor__min_child_weight': 5.0, 'model__regressor__max_depth': 2, 'model__regressor__learning_rate': 0.03, 'model__regressor__gamma': 0.0, 'model__regressor__colsample_bytree': 0.5}",-0.1315789818763733,-0.13007746636867523,-0.11828283220529556,-0.12664642681678137,0.005945638363479578,9,-0.08847060799598694,-0.09244225174188614,-0.093228280544281,-0.09138038009405136,0.002082392945076129
0.18521896998087564,0.008489508035489498,0.010879278182983398,0.0023881478846223643,0.8,20.0,1.0,600,10.0,3,0.1,0.0,0.7,"{'model__regressor__subsample': 0.8, 'model__regressor__reg_lambda': 20.0, 'model__regressor__reg_alpha': 1.0, 'model__regressor__n_estimators': 600, 'model__regressor__min_child_weight': 10.0, 'model__regressor__max_depth': 3, 'model__regressor__learning_rate': 0.1, 'model__regressor__gamma': 0.0, 'model__regressor__colsample_bytree': 0.7}",-0.13633394241333008,-0.13031171262264252,-0.12252414226531982,-0.12972326576709747,0.005653161198736311,14,-0.06954879313707352,-0.07213244587182999,-0.06992510706186295,-0.07053544869025548,0.0011396499582372612
0.2829419771830241,0.004782182803841888,0.010444005330403646,0.0001717587403878006,1.0,1.0,0.1,1000,5.0,4,0.1,0.0,0.5,"{'model__regressor__subsample': 1.0, 'model__regressor__reg_lambda': 1.0, 'model__regressor__reg_alpha': 0.1, 'model__regressor__n_estimators': 1000, 'model__regressor__min_child_weight': 5.0, 'model__regressor__max_depth': 4, 'model__regressor__learning_rate': 0.1, 'model__regressor__gamma': 0.0, 'model__regressor__colsample_bytree': 0.5}",-0.13265374302864075,-0.12313203513622284,-0.1234041377902031,-0.1263966386516889,0.004425835239562382,8,-0.014995007775723934,-0.01597781665623188,-0.015818888321518898,-0.015597237584491571,0.0004307552366250766
0.2629563808441162,0.0058267348421952485,0.009691953659057617,5.8021828084136295e-05,0.6,20.0,0.0,600,3.0,6,0.01,0.1,0.5,"{'model__regressor__subsample': 0.6, 'model__regressor__reg_lambda': 20.0, 'model__regressor__reg_alpha': 0.0, 'model__regressor__n_estimators': 600, 'model__regressor__min_child_weight': 3.0, 'model__regressor__max_depth': 6, 'model__regressor__learning_rate': 0.01, 'model__regressor__gamma': 0.1, 'model__regressor__colsample_bytree': 0.5}",-0.14697888493537903,-0.13818234205245972,-0.1317300796508789,-0.13896376887957254,0.006249772612703518,28,-0.11079200357198715,-0.11438767611980438,-0.11421112716197968,-0.11313026895125707,0.0016549735388713355
