number,value,datetime_start,datetime_complete,duration,params_activation,params_adam_learning_rate,params_adamw_learning_rate,params_batch_size,params_dropout,params_hidden_dim,params_hidden_dim_2,params_optimizer,params_rmsprop_learning_rate,params_weight_decay,user_attrs_fold_epochs,user_attrs_fold_scores,user_attrs_recommended_epochs,state
0,0.14419552032857255,2026-08-19 13:27:40.378958,2026-08-19 13:27:45.371372,0 days 00:00:04.992414,gelu,0.0006340681480877335,,16,0.0,32,32,adam,,2.7549376452056877e-06,"[11, 20, 12]","[0.14931965986709295, 0.14809636181748123, 0.13517053930114356]",12.0,COMPLETE
1,0.14361077380413467,2026-08-19 13:27:45.534759,2026-08-19 13:27:48.364537,0 days 00:00:02.829778,silu,,0.0006948466812207145,32,0.0,32,16,adamw,,5.673875241795969e-06,"[11, 21, 19]","[0.15944720177155086, 0.14101787270855912, 0.13036724693229407]",19.0,COMPLETE
2,0.13755441463690557,2026-08-19 13:27:48.500411,2026-08-19 13:27:52.782840,0 days 00:00:04.282429,gelu,,,16,0.0,32,32,rmsprop,0.00014367244478254873,3.1315453646186135e-07,"[36, 54, 54]","[0.13986008016934043, 0.14331053598269014, 0.12949262775868614]",54.0,COMPLETE
3,0.1403782306189015,2026-08-19 13:27:52.894544,2026-08-19 13:27:57.667224,0 days 00:00:04.772680,silu,,0.0004991958135057747,16,0.0,16,16,adamw,,3.0944627114845256e-07,"[20, 21, 28]","[0.15193272346751974, 0.13448287279243537, 0.1347190955967494]",21.0,COMPLETE
4,0.13985374428773287,2026-08-19 13:27:57.837190,2026-08-19 13:28:02.242698,0 days 00:00:04.405508,gelu,0.00023941264388777726,,16,0.0,16,32,adam,,5.8502460382892985e-05,"[26, 42, 26]","[0.14557637168609586, 0.14051241761922778, 0.13347244355787494]",26.0,COMPLETE
5,0.1636452412194626,2026-08-19 13:28:02.346563,2026-08-19 13:28:04.040273,0 days 00:00:01.693710,relu,,,32,0.0,64,32,rmsprop,0.00011374283383811009,0.0027805858502305647,"[89, 88]","[0.16706593129763214, 0.16022455114129305]",,PRUNED
6,0.23022429949988793,2026-08-19 13:28:04.141961,2026-08-19 13:28:06.943484,0 days 00:00:02.801523,gelu,,,16,0.0,32,32,rmsprop,0.0012349588264717072,0.002500635839803016,"[33, 51]","[0.23761165336090317, 0.22283694563887269]",,PRUNED
7,0.2553712425927137,2026-08-19 13:28:07.042509,2026-08-19 13:28:09.956815,0 days 00:00:02.914306,relu,,,16,0.0,64,32,rmsprop,0.0075214856915823605,1.0820052740879068e-07,"[82, 24]","[0.23615292030299798, 0.2745895648824294]",,PRUNED
8,0.13715001430050966,2026-08-19 13:28:10.055975,2026-08-19 13:28:12.520640,0 days 00:00:02.464665,gelu,,,32,0.0,32,16,rmsprop,0.00011066774943850622,7.846532302563544e-05,"[79, 92, 100]","[0.14619177248870527, 0.13688762684287945, 0.12837064356994426]",92.0,COMPLETE
9,0.162223635713784,2026-08-19 13:28:12.620532,2026-08-19 13:28:14.267992,0 days 00:00:01.647460,gelu,,,32,0.0,32,16,rmsprop,0.0006406868588791639,7.740517914309453e-05,"[40, 35]","[0.1698963169672196, 0.15455095446034844]",,PRUNED
10,0.15792747361636467,2026-08-19 13:28:14.369413,2026-08-19 13:28:16.044899,0 days 00:00:01.675486,relu,,0.000204604596399701,32,0.0,16,16,adamw,,0.00016983917569042735,"[54, 76]","[0.1683628701695933, 0.14749207706313602]",,PRUNED
11,0.13682520794175568,2026-08-19 13:28:16.144087,2026-08-19 13:28:18.577088,0 days 00:00:02.433001,gelu,,,32,0.0,32,16,rmsprop,0.00010380580271412455,2.071558808668743e-06,"[99, 92, 100]","[0.14701600651204086, 0.13702871241858852, 0.12643090489463765]",99.0,COMPLETE
12,0.1369640703068206,2026-08-19 13:28:18.677485,2026-08-19 13:28:21.082717,0 days 00:00:02.405232,gelu,,,32,0.0,32,16,rmsprop,0.00010710552741580038,7.2680701220431866e-06,"[79, 92, 100]","[0.14694073229046448, 0.13630820873550778, 0.1276432698944895]",92.0,COMPLETE
13,0.15208508380289915,2026-08-19 13:28:21.182210,2026-08-19 13:28:22.839288,0 days 00:00:01.657078,gelu,,,32,0.0,32,16,rmsprop,0.0003280426840477275,2.9455568397470073e-06,"[18, 51]","[0.15900238109139736, 0.1451677865144009]",,PRUNED
14,0.1500381292550778,2026-08-19 13:28:22.946012,2026-08-19 13:28:24.707550,0 days 00:00:01.761538,gelu,,,32,0.0,64,16,rmsprop,0.0002643540371765961,8.539924327849669e-06,"[36, 35]","[0.15592937998831818, 0.14414687852183747]",,PRUNED
