mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__regressor__max_depth,param_model__regressor__max_features,param_model__regressor__min_samples_leaf,param_model__regressor__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.023278188705444337,0.004051608782684058,0.006002235412597656,0.001022732431183006,3,,1,2,"{'model__regressor__max_depth': 3, 'model__regressor__max_features': None, 'model__regressor__min_samples_leaf': 1, 'model__regressor__min_samples_split': 2}",-0.2167990017110985,-0.22909319005209688,-0.21337701828003647,-0.21405423426617798,-0.2085263283275259,-0.2163699545273871,0.006897934522378657,501,-0.19618057224980284,-0.19434071646516998,-0.20043334292921797,-0.2000966519780661,-0.20129649322864834,-0.19846955537018104,0.002712277162568905
0.025000810623168945,0.002233348423748201,0.006448936462402344,0.002133103509910724,3,,1,3,"{'model__regressor__max_depth': 3, 'model__regressor__max_features': None, 'model__regressor__min_samples_leaf': 1, 'model__regressor__min_samples_split': 3}",-0.2167990017110985,-0.22909319005209688,-0.21337701828003647,-0.21405423426617798,-0.2085263283275259,-0.2163699545273871,0.006897934522378657,501,-0.19618057224980284,-0.19434071646516998,-0.20043334292921797,-0.2000966519780661,-0.20129649322864834,-0.19846955537018104,0.002712277162568905
0.025564241409301757,0.002517333488960116,0.006048822402954101,0.0007933848805589446,3,,1,5,"{'model__regressor__max_depth': 3, 'model__regressor__max_features': None, 'model__regressor__min_samples_leaf': 1, 'model__regressor__min_samples_split': 5}",-0.2167990017110985,-0.22909319005209688,-0.21337701828003647,-0.21405423426617798,-0.2085263283275259,-0.2163699545273871,0.006897934522378657,501,-0.19618057224980284,-0.19434071646516998,-0.20043334292921797,-0.2000966519780661,-0.20129649322864834,-0.19846955537018104,0.002712277162568905
0.024158811569213866,0.0008731367742856721,0.006010580062866211,0.0010769874857638323,3,,1,7,"{'model__regressor__max_depth': 3, 'model__regressor__max_features': None, 'model__regressor__min_samples_leaf': 1, 'model__regressor__min_samples_split': 7}",-0.2167990017110985,-0.22909319005209688,-0.21337701828003647,-0.21405423426617798,-0.2085263283275259,-0.2163699545273871,0.006897934522378657,501,-0.19618057224980284,-0.19434071646516998,-0.20043334292921797,-0.2000966519780661,-0.20129649322864834,-0.19846955537018104,0.002712277162568905
0.025287532806396486,0.0014822111919714947,0.005403566360473633,0.00012496112512001175,3,,1,10,"{'model__regressor__max_depth': 3, 'model__regressor__max_features': None, 'model__regressor__min_samples_leaf': 1, 'model__regressor__min_samples_split': 10}",-0.2167990017110985,-0.22909319005209688,-0.21337701828003647,-0.21405423426617798,-0.2085263283275259,-0.2163699545273871,0.006897934522378657,501,-0.19618057224980284,-0.19434071646516998,-0.20043334292921797,-0.2000966519780661,-0.20129649322864834,-0.19846955537018104,0.002712277162568905
0.026611804962158203,0.0015084204891001418,0.005519580841064453,0.00018986751519543338,3,,3,2,"{'model__regressor__max_depth': 3, 'model__regressor__max_features': None, 'model__regressor__min_samples_leaf': 3, 'model__regressor__min_samples_split': 2}",-0.2167990017110985,-0.22909319005209688,-0.21337701828003647,-0.21405423426617798,-0.2085263283275259,-0.2163699545273871,0.006897934522378657,501,-0.19618057224980284,-0.19434071646516998,-0.20043334292921797,-0.2000966519780661,-0.20129649322864834,-0.19846955537018104,0.002712277162568905
0.025753211975097657,0.0015900085483175784,0.006365013122558594,0.0015058826793056667,3,,3,3,"{'model__regressor__max_depth': 3, 'model__regressor__max_features': None, 'model__regressor__min_samples_leaf': 3, 'model__regressor__min_samples_split': 3}",-0.2167990017110985,-0.22909319005209688,-0.21337701828003647,-0.21405423426617798,-0.2085263283275259,-0.2163699545273871,0.006897934522378657,501,-0.19618057224980284,-0.19434071646516998,-0.20043334292921797,-0.2000966519780661,-0.20129649322864834,-0.19846955537018104,0.002712277162568905
0.025104475021362305,0.0018147619731337038,0.005533599853515625,0.00019015854550794505,3,,3,5,"{'model__regressor__max_depth': 3, 'model__regressor__max_features': None, 'model__regressor__min_samples_leaf': 3, 'model__regressor__min_samples_split': 5}",-0.2167990017110985,-0.22909319005209688,-0.21337701828003647,-0.21405423426617798,-0.2085263283275259,-0.2163699545273871,0.006897934522378657,501,-0.19618057224980284,-0.19434071646516998,-0.20043334292921797,-0.2000966519780661,-0.20129649322864834,-0.19846955537018104,0.002712277162568905
0.025753164291381837,0.001888003194857767,0.006577873229980468,0.0014602810766485843,3,,3,7,"{'model__regressor__max_depth': 3, 'model__regressor__max_features': None, 'model__regressor__min_samples_leaf': 3, 'model__regressor__min_samples_split': 7}",-0.2167990017110985,-0.22909319005209688,-0.21337701828003647,-0.21405423426617798,-0.2085263283275259,-0.2163699545273871,0.006897934522378657,501,-0.19618057224980284,-0.19434071646516998,-0.20043334292921797,-0.2000966519780661,-0.20129649322864834,-0.19846955537018104,0.002712277162568905
0.02529745101928711,0.0014192195059008895,0.0061209678649902345,0.0010924693055671124,3,,3,10,"{'model__regressor__max_depth': 3, 'model__regressor__max_features': None, 'model__regressor__min_samples_leaf': 3, 'model__regressor__min_samples_split': 10}",-0.2167990017110985,-0.22909319005209688,-0.21337701828003647,-0.21405423426617798,-0.2085263283275259,-0.2163699545273871,0.006897934522378657,501,-0.19618057224980284,-0.19434071646516998,-0.20043334292921797,-0.2000966519780661,-0.20129649322864834,-0.19846955537018104,0.002712277162568905
